Year,Populasi
2010,1541900
2011,1570820
2012,1599740
2013,1628660
2014,1657580
2015,1686500
2016,1715580
2017,1744660
2018,1773740
2019,1802820
2020,1831900
2021,1860060
2022,1888220
2023,1916380
2024,1944540
2025,1972700
2026,1999000
2027,2025300
2028,2051600
2029,2077900
2030,2104200
