309049,17229,2420,12697,27405,64071,113464,257527,203605,14953,209851,1998,2711,3433,44765,25595,85913,31123,85442,36982,338725,13422,159881,273,16715,1333,46482,158651,878,3839,443,5653,29437,950,248840,746042,1013426,58385,114336,227876,13335,21850,294651,34805,48609,6701,3061,57,14266,519043,312186,203110,6255,0
2304997,227655,2235,84642,22853,117447,325989,287429,996504,119198,417317,4615,8864,16292,175720,101434,219740,103695,252363,110884,3523257,104314,350125,512,738076,1960,20042,560844,1647,2801,1210,4886,140824,40852,5554953,4197886,161613,173742,169043,132715,634643,68569,152793,832734,328722,111772,108717,299,285056,5234434,621765,615773,46294,0
1503824,283046,2482,99662,114637,129882,233617,591392,1779619,522681,2552618,31120,231085,196702,427641,176873,245570,251493,683933,1147371,2125223,988393,185948,1073,1003835,5528,95314,2147322,14167,5961,4237,17642,558042,39415,2445290,7716107,1333095,151408,390649,347388,145416,46750,1333244,779975,941859,232515,267507,1017,59437,0,1923855,86911,741762,0
45167,6434,45,1470,1661,4805,0,26014,19164,56554,344052,554,3519,1,3983,8119,44979,15785,8269,2007,193130,367137,13493,54,66313,299,4659,439657,1061,8936,503,7424,27730,12632,633081,2362456,101809,5401,74845,58760,21984,20181,16012,224850,36811,22348,65663,90,34297,2007496,516410,406833,8155,0
16099,392,38,1252,592,1149,14918,22974,2210,12657,152178,1941,27,414,795,1157,9584,36567,58994,1750,229358,25212,20190,4,1652,69,4493,221579,54,13799,245,4907,76,1667,394043,764756,68735,8965,4705,77817,2178,6803,6288,346209,1330,37927,24407,42,43042,0,72383,3574,2115,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
