Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LPC,LRC
Padi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,126768,0,0,0,0,0,0,0,0,0,126768,38.44662131,0.026010088
Jagung,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,71430.4,264624.8333,0,0,0,702.3125,0,0,0,0,0,0,336757.5458,1.661322726,0.601930007
Kacang Kedelai,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,71430.4,264624.8333,0,0,0,702.3125,0,0,0,0,0,0,336757.5458,0.027765638,36.01573971
Ketela pohon,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,71430.4,264624.8333,0,0,0,702.3125,0,0,0,0,0,0,336757.5458,0.910978659,1.097720557
Tanaman pangan lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,71430.4,264624.8333,0,0,0,702.3125,0,0,0,0,0,0,336757.5458,0.841639335,1.188157396
Jasa pertanian dan perburuan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409.142857,702.3125,0,0,0,0,0,0,2111.455357,230.712931,0.004334391
Jeruk,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,179450.75,0,0,0,0,0,0,0,0,702.3125,0,0,0,0,0,0,180153.0625,4.784476539,0.209009281
Hortikultura lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,179450.75,0,0,0,71430.4,264624.8333,0,0,0,702.3125,0,0,0,0,0,0,516208.2958,2.699221437,0.3704772
Karet ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,179450.75,0,0,0,0,0,0,0,0,702.3125,0,0,0,0,0,0,180153.0625,18.15852224,0.055070561
Kelapa,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,179450.75,0,0,0,0,0,0,0,0,702.3125,0,0,0,0,0,0,180153.0625,4.260990442,0.23468722
Kelapa Sawit,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,179450.75,0,0,0,0,0,0,0,0,702.3125,0,0,0,0,0,0,180153.0625,25.92229381,0.038576833
