Year,Populasi
2010,4411400
2011,4487040
2012,4562680
2013,4638320
2014,4713960
2015,4789600
2016,4858640
2017,4927680
2018,4996720
2019,5065760
2020,5134800
2021,5194360
2022,5253920
2023,5313480
2024,5373040
2025,5432600
2026,5481920
2027,5531240
2028,5580560
2029,5629880
2030,5679200
