ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
33,"Ind pupuk, kimia & pengilangan",19342.53935,1130.158885,0.752814888,0,0,15.58110062,33.87977867,0,938.9447027,353.0564608,4948.307935,234.5066035,8769.423228,0,0,3.43E-03,0.031505332,0,2476.712353,441.1805591,0,0,0,0,0,0,0
34,Ind semen dan sejenisnya,45336.15964,24665.50421,160.9398432,0,0,164.348267,357.3613344,0,4786.499786,1536.055325,0,1007.174773,9549.673511,0,0,0.03614156,0.332315852,0,10.51842287,3097.715712,0,0,0,0,0,0,0
35,Ind barang dari logam,3029.150496,1465.216848,0.845592446,0,0,12.70410851,27.62400391,0,242.3186093,294.7300473,0,70.13468455,691.2977616,0,0,0.00279374,0.02568799,0,0.007725108,224.2426335,0,0,0,0,0,0,0
36,"Ind angkutan, mesin dan peralatannya",1557.141027,99.03495766,0.065968592,0,0,5.44891604,11.84820469,0,52.8193382,2.522530489,0,55.4107905,1002.810761,0,0,1.20E-03,0.011017829,0,1.876364185,325.2909794,0,0,0,0,0,0,0
37,Industri lainnya,2080.458984,59.17143359,0.039414932,0,0,33.42471738,72.67920633,0,68.50781199,3.112541517,0,68.3711799,1184.405886,0,0,0.007350375,0.067585522,0,206.4751908,384.1966659,0,0,0,0,0,0,0
38,Listrik dan air bersih,55675.45355,11982.78544,0,0,0,5.49952092,11.9582407,0,6121.80183,2902.026659,0,97.01694599,14760.94433,0,0,0.001209391,0.011120154,0,4.38198E-06,753.2949223,0,0,1028.346464,17904.51798,0,0,0
39,Bangunan,1027657.283,0,0,0,0,26847.45189,58377.50169,0,77045.16247,28125.12708,0,714330.6163,20643.3251,0,0,5.90E+00,54.28614498,0,95531.64267,6696.265838,0,0,0,0,0,0,0
40,Perdagangan,256888.8265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0
41,H o t e l,1566.428735,0,0,0,0,206.8654904,449.8114222,0,179.0129725,41.43588883,0,110.0669022,17.90536277,0,0,0.045491454,0.418286624,0,54.6553268,506.2115913,0,0,0,0,0,0,0
42,Restoran,1987.343159,0,0,0,0,262.4522316,570.6800651,0,227.115475,52.57010954,0,139.6429344,22.71670547,0,0,0.057715443,0.530684251,0,69.34173726,642.2355005,0,0,0,0,0,0,0
43,Angk. darat dan rel,4473015.345,0,0,0,0,4456987.291,0,0,0,0,0,0,7015.926689,0,0,0,9012.127453,0,0,0,0,0,0,0,0,0,0
44,"Angk. laut, sungai & penyeberangan",1185891.719,0,0,0,0,0,0,0,1008738.576,176716.984,0,436.1590373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Angk. udara,172100.3028,0,0,0,0,0,0,172100.3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Jasa penunjang angkutan,794577.0635,0,0,0,0,737444.118,0,0,2604.498804,602.8597893,0,1601.38738,1736.605871,0,0,0.00E+00,1491.128412,0,0,49096.46527,0,0,0,0,0,0,0
47,Komunikasi,12800.22258,0,0,0,0,8669.836412,0,0,405.5405338,93.86991476,0,249.3483552,114.9273507,0,0,0,17.53060209,0,0,3249.169413,0,0,0,0,0,0,0
48,Bank & lembaga keuangan lainnya,15863.46152,0,0,0,0,2622.376996,5702.135835,0,1359.708468,314.7298664,0,836.0226462,171.5866528,0,0,0.576682661,5.302504623,0,0.008594095,4851.013279,0,0,0,0,0,0,0
49,Real estat & jasa perusahaan,21609.72427,0,0,0,0,1314.463852,2858.189898,0,4456.138656,1031.456343,0,2739.87617,314.4698011,0,0,0.289061608,2.657875151,0,1.647393771,8890.535223,0,0,0,0,0,0,0
50,Pemerintahan,199212.1906,0,0,0,0,26960.06588,58622.37124,0,29850.34857,6909.419511,0,18353.61622,1970.121496,0,0,5.928744248,54.51385296,0,787.5011163,55698.30393,0,0,0,0,0,0,0
51,Jasa pemerintah lainnya,7256.053463,0,0,0,0,981.9864881,2135.246134,0,1087.2614,251.6669147,0,668.5073849,71.7591974,0,0,0.215947052,1.985598524,0,28.6837376,2028.740661,0,0,0,0,0,0,0
52,Jasa sosial kemasyarakatan,36595.63795,0,0,0,0,7895.504894,17168.10415,0,1437.570542,332.7524946,0,883.8964798,251.2683413,0,0,1.74E+00,15.96488654,0,1505.10517,7103.734702,0,0,0,0,0,0,0
53,Jasa Hiburan dan rekreasi,339.5527985,0,0,0,0,51.00560423,110.9073501,0,13.22540994,3.061267617,0,8.131700632,5.174951131,0,0,0.011216559,0.103134466,0,1.628496031,146.3036678,0,0,0,0,0,0,0
54,Jasa Perorangan RT & Lainnya,40624.10392,0,0.00E+00,0,0,6102.311557,13268.95769,0,1582.288321,366.2501218,0,972.8768337,619.1312617,0,0,1.34E+00,1.23E+01,0,194.8332992,17503.77388,0,0,0,0,0,0,0
55,Barang & jasa yg tdk termasuk dimanapun,28.45514879,0,0,0,0,4.274363409,9.294239847,0,1.108313668,0.256539855,0,0.681451463,0.433670419,0,0,9.40E-04,0.008642858,0,0.136470961,12.26051634,0,0,0,0,0,0,0
