Year,Populasi
2010,4706200
2011,4788980
2012,4871760
2013,4954540
2014,5037320
2015,5120100
2016,5204360
2017,5288620
2018,5372880
2019,5457140
2020,5541400
2021,5627280
2022,5713160
2023,5799040
2024,5884920
2025,5970800
2026,6057080
2027,6143360
2028,6229640
2029,6315920
2030,6402200
