ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
1,Padi,1084034.32,0,339884.685,0,0,339884.685,399229.63,4230.675864,0,0,0.503532,804.140604,0,0,0
2,Jagung,98804.048,0,0,29368.5144,0,0,68526.5336,763.7418,0,0,0.0909,145.1673,0,0,0
3,"Umbi-umbian, Kacang-kacangan, dan Sayur-sayuran",46315.83,0,0,12315.825,0,0,28736.925,4422.039816,0,0,0.526308,840.513876,0,0,0
4,Buah-buahan,22904.625,0,0,6372.7155,0,0,14869.6695,1396.614048,0,0,0.166224,265.459728,0,0,0
5,Jambu mete,12250.35,0,0,1814.625,0,0,4234.125,5210.58432,0,0,0.62016,990.39552,0,0,0
6,Kakao,32565.75,0,0,5621.445,0,0,13116.705,11617.94952,0,0,1.38276,2208.26772,0,0,0
7,Tanaman Perkebunan Lainnya,33083.99,0,0,733.905,0,0,14758.985,6126.06624,0,0,3090.69912,8374.33464,0,0,0
8,Ternak dan Hasil-hasilnya,35764.8164,0,0,184.510425,0,0,6050.360425,0,0,0,0,29529.94555,0,0,0
9,Unggas & Hasil-hasilnya,4166.56695,0,0,362.534085,0,0,845.912865,2485.412424,0,0,0.295812,472.411764,0,0,0
10,Kayu ,16525.17,0,0,4452.86565,0,0,11171.22435,757.087416,0,0,0.090108,143.902476,0,0,0
11,Hasil Hutan Lainnya,2037.896,1.2819296,0.0735672,0,0,4.0529608,3.0475424,1705.135488,0,0,0.202944,324.101568,0,0,0
12,Perikanan Darat dan laut,29864.92632,0,0,4166.66316,0,0,4166.66316,18090.85032,0,0,2.15316,3438.59652,0,0,0
13,Nikel,2987130.161,0,0,0,0,0,2982843.161,3601.9374,0,0,0.4287,684.6339,0,0,0
14,Aspal,113735.2232,0,0,0,0,0,113568.1832,140.347008,0,0,0.016704,26.676288,0,0,0
15,Penggalian Lainnya,4986.6515,3.1368314,0.18001605,0,0,9.91743595,7.4572166,4172.399592,0,0,0.496596,793.063812,0,0,0
16,Pengilangan Minyak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Industri Makanan dan Minuman & Tembakau,3550.653,2.2335228,0.1281771,0,0,7.0615269,5.3097732,2970.879984,0,0,0.353592,564.686424,0,0,0
18,"Industri Tekstil, Kayu, Kertas, Pupuk, Semen, & sejenisnya",2028.1355,1.2757898,0.07321485,0,0,4.03354915,3.0329462,1696.968744,0,0,0.201972,322.549284,0,0,0
19,Industri Ferro Nikel dan Besi/baja lainnya,7215.299,4.5387524,0.2604693,0,0,14.3497627,10.7900156,6037.139472,0,0,0.718536,1147.501992,0,0,0
20,Industri Lainnya,391.625,0.24635,0.0141375,0,0,0.7788625,0.58565,327.678,0,0,0.039,62.283,0,0,0
21,Listrik,1.673885935,0,0.012511985,1.636893981,0,0,0.02447997,0,0,0,0,0,0,0,0
22,Air Bersih,605.217269,3.6367324,0.2087043,411.188269,0,11.4979277,8.6456356,142.867608,0,0,0.017004,27.155388,0,0,0
23,Konstruksi/Bangunan,35746.2045,22.4859942,1.29042315,0,0,71.09193285,53.4561498,29909.33878,0,0,3.559788,5684.981436,0,0,0
24,Jasa Perdagangan,30999.4685,19.5000806,1.11906795,0,0,61.65164005,46.3577114,25937.67977,0,0,3.087084,4930.073148,0,0,0
25,Jasa Perhotelan dan Restoran,497.42938,2.87938,0,0,0,0,0,0,0,0,346.185,148.365,0,0,0
26,Jasa Angkutan dan Jasa Komunikasi,46563604.9,335.7311943,0.61885275,0,0,34.09380725,25.636153,14343.72636,0,13723.1123,32572688.27,13962453.71,0,0,0
27,Bank dan Lembaga Keuangan lainnya,9127.152,5.7413952,0.3294864,0,0,18.1520496,13.6490688,7636.813056,0,0,0.908928,1451.558016,0,0,0
28,Sewa Bangunan dan Jasa Perusahaan,5028.706,3.1632856,0.1815342,0,0,10.0010738,7.5201064,4207.587168,0,0,0.500784,799.752048,0,0,0
29,Jasa Pemerintahan,112708.952,70.8990752,4.0687464,0,0,224.1551896,168.5489888,94305.12346,0,0,11.224128,17924.93242,0,0,0
30,"Jasa Pendidikan, Kesehatan & Kemasyarakatan Sosial",915.559,0.5759284,0.0330513,0,0,1.8208607,1.3691596,766.060752,0,0,0.091176,145.608072,0,0,0
31,"Jasa Hiburan, Rekreasi  & Kebudayaan Swasta",41.8135,0.0263026,0.00150945,0,0,0.08315855,0.0625294,34.985928,0,0,0.004164,6.649908,0,0,0
32,Jasa Perorangan dan Rumahtangga,3516.672,2.2121472,0.1269504,0,0,6.9939456,5.2589568,2942.447616,0,0,0.350208,559.282176,0,0,0
