Year,Populasi
2010,2243600
2011,2294780
2012,2345960
2013,2397140
2014,2448320
2015,2499500
2016,2550720
2017,2601940
2018,2653160
2019,2704380
2020,2755600
2021,2805080
2022,2854560
2023,2904040
2024,2953520
2025,3003000
2026,3049940
2027,3096880
2028,3143820
2029,3190760
2030,3237700
