ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,4.276816226,0,0,0,0,0.745505935,1.621039276,0,1.882075819,0,0,0,0,0,0,0.000163943,0.00150743,0,0,0.026523823,0,0,0,0,0,0,0
2,Jagung,1.239858522,0,0,0,0,0.216123826,0.469942886,0,0.54561796,0,0,0,0,0,0,4.75274E-05,0.000437007,0,0,0.007689315,0,0,0,0,0,0,0
3,"Umbi-umbian, Kacang-kacangan, dan Sayur-sayuran",6.554954811,0,0,0,0,1.142615782,2.484520878,0,2.884604176,0,0,0,0,0,0,0.000251271,0.002310395,0,0,0.04065231,0,0,0,0,0,0,0
4,Buah-buahan,2.387405383,0,0,0,0,0.416156503,0.904896935,0,1.050612817,0,0,0,0,0,0,9.15163E-05,0.000841478,0,0,0.014806135,0,0,0,0,0,0,0
5,Jambu mete,4.118206224,0,0,0,0,0.717858103,1.560921415,0,1.812277157,0,0,0,0,0,0,0.000157863,0.001451525,0,0,0.02554016,0,0,0,0,0,0,0
6,Kakao,11.3295181,0,0,0,0,1.974885649,4.294220948,0,4.985720906,0,0,0,0,0,0,0.000434294,0.003993263,0,0,0.070263044,0,0,0,0,0,0,0
7,Tanaman Perkebunan Lainnya,6.249685444,0,0,0,0,1.089403272,2.368814799,0,2.750265906,0,0,0,0,0,0,0.000239569,0.002202798,0,0,0.0387591,0,0,0,0,0,0,0
8,Ternak dan Hasil-hasilnya,4.6618098,0,0,0,0,0.812615434,1.766963177,0,2.051497898,0,0,0,0,0,0,0.000178701,0.001643126,0,0,0.028911464,0,0,0,0,0,0,0
9,Unggas & Hasil-hasilnya,5.044863657,0,0,0,0,0.879386815,1.912151867,0,2.220066376,0,0,0,0,0,0,0.000193385,0.00177814,0,0,0.031287075,0,0,0,0,0,0,0
10,Kayu ,1.033518556,0,0,0,0,0.180156026,0.391733964,0,0.454815026,0,0,0,0,0,0,3.96178E-05,0.000364279,0,0,0.006409642,0,0,0,0,0,0,0
11,Hasil Hutan Lainnya,1.640336911,0,0,0,0,0.285932534,0.621735987,0,0.721854359,0,0,0,0,0,0,6.2879E-05,0.000578162,0,0,0.010172989,0,0,0,0,0,0,0
12,Perikanan Darat dan laut,24.62747012,0,0,0,0,4.292895502,9.334536307,0,10.83768008,0,0,0,0,0,0,0.000944044,0.00868033,0,0,0.15273386,0,0,0,0,0,0,0
13,Nikel,91.53854507,52.73295039,0.006298167,0,0,0.19235364,0.418256638,0,7.508197922,0.36513093,0,0.100793346,30.1324028,0,0,4.23002E-05,0.000388943,0,0,0.08172999,0,0,0,0,0,0,0
14,Aspal,2.599808098,1.497681128,0.000178876,0,0,0.005463082,0.011879007,0,0.213242124,0.010370171,0,0.002862656,0.855797574,0,0,1.20138E-06,1.10465E-05,0,0,0.002321233,0,0,0,0,0,0,0
15,Penggalian Lainnya,50.08617068,28.85332678,0.003446101,0,0,0.105248093,0.22885303,0,4.108180683,0.199784802,0,0.055150021,16.48722588,0,0,2.31449E-05,0.000212814,0,0,0.044719328,0,0,0,0,0,0,0
16,Pengilangan Minyak,936.0595036,539.2392825,0.064404116,0,0,1.966979627,4.277029975,0,76.77771167,3.733774414,0,1.030697715,308.129455,0,0,0.000432555,0.003977277,0,0,0.835758686,0,0,0,0,0,0,0
17,Industri Makanan dan Minuman & Tembakau,1079.322855,117.4828883,0.078257021,0,0,6.165904401,13.40723492,0,77.37670161,9.069102732,0,24.48819986,123.4276572,0,0,0.001355934,0.012467596,0,667.7757176,40.03736803,0,0,0,0,0,0,0
18,"Industri Tekstil, Kayu, Kertas, Pupuk, Semen, & sejenisnya",1492.730795,1.593354819,0.322219109,0,0,55.7864772,121.302952,0,120.2290017,5.462410029,0,17.71073231,684.4859884,0,0,0.012267913,0.112801498,0,263.679554,222.0330358,0,0,0,0,0,0,0
