Year,Energi,Limbah,Kehutanan,Pertanian
2010,1594.575934,1617.63,2800123,1005275.039
2011,1763.492416,1634.88,2928541.607,985905.6503
2012,1950.606112,1652.37,5794819.816,995433.8492
2013,2155.281088,1670.08,8600032.421,1007280.585
2014,2376.08801,1688.03,11346787.6,1020941.81
2015,2610.772536,1706.21,14037534.1,1036047.876
2016,2856.300249,1724.64,16674573.37,1052321.849
2017,3108.99125,1743.31,19260069.79,1069552.369
2018,3364.7488,1762.24,21796060.26,1087575.468
2019,3619.374988,1781.41,24284462.94,1106262.102
2020,3868.953733,1800.84,26727085.51,1125509.393
2021,4136.776739,1817.322727,29125632.7,1145234.373
2022,4424.233786,1835.639545,31481713.29,1165369.43
2023,4732.812813,1853.956364,33796846.66,1185858.943
2024,5064.117003,1872.273182,36072468.83,1206656.76
2025,5419.873861,1890.59,38309938,1227724.284
2026,5801.944991,1908.906818,40510539.79,1249029.001
2027,6212.33667,1927.223636,42675492.03,1270543.337
2028,6653.21125,1945.540455,44805949.23,1292243.765
2029,7126.899483,1963.857273,46903006.74,1314110.094
2030,7635.913815,1982.174091,47123456,1336124.906
