F_Type,Em_F
Padat_Ditimbun_di_TPA,1
Padat_Kompos,1
Padat_R3,1
Padat_waste_to_energy,1
Padat_dibakar_terbuka,1
Padat_tidak_terkelola,1
Cair_septic_tank,1
Cair_MCK_plus,1
Cair_IPAL_Aerob,1
Cair_IPAL_Anaerob,1
Cair_tidak_terkelola,1
Cair_Biogas,1
Cair_Pengolahan_KIMIA,1
Cair_R3,1
