Year,Populasi
2010,2857000
2011,2915480
2012,2973960
2013,3032440
2014,3090920
2015,3149400
2016,3206600
2017,3263800
2018,3321000
2019,3378200
2020,3435400
2021,3488660
2022,3541920
2023,3595180
2024,3648440
2025,3701700
2026,3749240
2027,3796780
2028,3844320
2029,3891860
2030,3939400
