ID,Sektor,TOTAL,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,6.406,0,0,0,0,1.117,2.428,0,2.819,0,0,0,0,0,0,0,0.002,0,0,0.04,0,0,0,0,0,0,0
2,Jagung,6.426,0,0,0,0,1.12,2.436,0,2.828,0,0,0,0,0,0,0,0.002,0,0,0.04,0,0,0,0,0,0,0
3,Ubi Jalar,25.422,0,0,0,0,4.431,9.636,0,11.187,0,0,0,0,0,0,0.001,0.009,0,0,0.158,0,0,0,0,0,0,0
4,Umbi-Umbian Lainnya,4.545,0,0,0,0,0.792,1.723,0,2,0,0,0,0,0,0,0,0.002,0,0,0.028,0,0,0,0,0,0,0
5,Kacang-Kacangan Dan Serelia,0.783,0,0,0,0,0.136,0.297,0,0.344,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0
6,Sayur-Sayuran,11.645,0,0,0,0,2.03,4.414,0,5.124,0,0,0,0,0,0,0,0.004,0,0,0.072,0,0,0,0,0,0,0
7,Buah-Buahan,6.954,0,0,0,0,1.212,2.636,0,3.06,0,0,0,0,0,0,0,0.002,0,0,0.043,0,0,0,0,0,0,0
8,Karet,0.133,0,0,0,0,0.023,0.05,0,0.058,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0
9,Kelapa Sawit,5.618,0,0,0,0,0.979,2.13,0,2.472,0,0,0,0,0,0,0,0.002,0,0,0.035,0,0,0,0,0,0,0
10,Kelapa,1.867,0,0,0,0,0.325,0.708,0,0.822,0,0,0,0,0,0,0,0.001,0,0,0.012,0,0,0,0,0,0,0
11,Kopi,0.777,0,0,0,0,0.136,0.295,0,0.342,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0
12,Kakao,2.136,0,0,0,0,0.372,0.809,0,0.94,0,0,0,0,0,0,0,0.001,0,0,0.013,0,0,0,0,0,0,0
