ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
1,Padi,311114.08,0,96670.035,0,0,96670.035,113548.93,2182.676328,0,0,50.278452,1992.12522,0,0,0
2,Jagung,15447.408,0,0,3437.7624,0,0,8021.4456,2060.30412,0,0,47.45958,1880.4363,0,0,0
3,Ubi Jalar,69599.49,0,0,15711.075,0,0,36659.175,8900.625384,0,0,205.027956,8123.58666,0,0,0
4,Umbi-Umbian Lainnya,7936.41,0,0,1668.555,0,0,3893.295,1226.697696,0,0,28.257264,1119.60504,0,0,0
5,Kacang-Kacangan Dan Serelia,1448.64,0,0,337.14,0,0,786.66,167.812344,0,0,3.865596,153.16206,0,0,0
6,Sayur-Sayuran,14769.18,0,0,2119.05,0,0,4944.45,3980.754288,0,0,91.697592,3633.22812,0,0,0
7,Buah-Buahan,13135.62,0,0,3264.93,0,0,7618.17,1163.651832,0,0,26.804988,1062.06318,0,0,0
8,Karet,172.31,0,0,22.965,0,0,53.585,49.469616,0,0,1.139544,45.15084,0,0,0
9,Kelapa Sawit,20410.775,0,0,3751.3875,0,0,3751.3875,0,0,0,5360.047,7547.953,0,0,0
10,Kelapa,8531.28,0,0,0,0,0,4767.48,0,0,0,1129.14,2634.66,0,0,0
11,Kopi,653.76,0,0,119.88,0,0,279.72,131.299056,0,0,3.024504,119.83644,0,0,0
12,Kakao,3026.49,0,0,518.175,0,0,1209.075,671.187384,0,0,15.460956,612.59166,0,0,0
13,Pinang,24.18,0,0,4.77,0,0,11.13,4.277448,0,0,0.098532,3.90402,0,0,0
14,Tanaman Perkebunan Lainnya,255.96,0,0,29.52,0,0,68.88,81.395496,0,0,1.874964,74.28954,0,0,0
15,Sagu,18.42,0,0,4.77,0,0,11.13,1.301832,0,0,0.029988,1.18818,0,0,0
16,Ternak Besar,12256.35,0,0,0,0,0,2042.725,0,0,0,0,10213.625,0,0,0
17,Ternak Kecil Lainnya,194.0708,0,0,62.852475,0,0,62.852475,0,0,0,0,68.36585,0,0,0
18,Babi,2366.2408,0,0,766.33935,0,0,766.33935,0,0,0,0,833.5621,0,0,0
19,Unggas Dan Hasil-Hasilnya,4200.8889,0,0,212.91867,0,0,496.81023,1803.533256,0,0,41.544804,1646.08194,0,0,0
20,Jasa Pertanian Dan Perburuan,1011.8385,0.5667975,0.0134352,0,0,1.53958995,2.07867735,520.546824,0,0,11.990916,475.10226,0,0,0
21,Kayu,146392.338,0,0,37409.19633,0,0,93851.14167,7817.1912,0,0,180.0708,7134.738,0,0,0
22,Hasil Hutan Lainnya,2842.595,1.592325,0.037744,0,0,4.3252265,5.8397045,1462.39128,0,0,33.68652,1334.7222,0,0,0
23,Ikan Laut,71214.9937,0,0,4431.736848,0,0,4431.736848,32210.79523,0,0,741.983088,29398.74168,0,0,0
