Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LRC,LPC
 Padi ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,14992.8,86934.7,13186,0,0,0,0,0,0,0,0,0,115113.5,0.233538103,4.281956504
 Jagung ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,7496.4,0,0,0,0,0,0,0,0,0,0,0,7496.4,0.015162039,65.95419135
 Ubi Jalar ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,11244.6,34773.88,0,0,301.12,3391.75,0,0,0,0,0,0,49711.35,0.02541393,39.34849888
 Umbi-Umbian Lainnya ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,11244.6,26080.41,0,0,301.12,3391.75,0,0,0,0,0,0,41017.88,0.117288108,8.526013534
 Kacang-Kacangan Dan Serelia ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,7496.4,8693.47,0,0,0,3391.75,0,0,0,0,0,0,19581.62,0.325124859,3.075741435
 Sayur-Sayuran ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,7496.4,26080.41,0,0,0,3391.75,0,0,0,0,0,0,36968.56,0.041260659,24.23616175
 Buah-Buahan ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,7474.45,0,0,0,7496.4,86934.7,0,0,301.12,3391.75,0,0,0,0,0,0,105598.42,0.197355878,5.066988692
 Karet ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,14948.9,0,0,0,0,86934.7,0,0,0,6783.5,0,0,0,0,0,0,108667.1,10.65363725,0.093864656
 Kelapa Sawit ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,14948.9,0,0,0,0,43467.35,0,0,0,2035.05,0,0,0,0,0,0,60451.3,0.13983872,7.151095179
 Kelapa ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,14948.9,0,0,0,0,86934.7,0,0,903.36,6783.5,0,0,0,0,0,0,109570.46,0.76265372,1.311211069
 Kopi ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,29897.8,0,0,0,7496.4,173869.4,0,0,0,10175.25,0,0,0,0,0,0,221438.85,3.701814641,0.270137783
 Kakao ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,22423.35,0,0,0,0,173869.4,0,0,0,10175.25,0,0,0,0,0,0,206468,1.256445989,0.795895732
 Pinang ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,14948.9,0,0,0,0,8693.47,0,0,602.24,2035.05,0,0,0,0,0,0,26279.66,13.2324572,0.075571754
 Tanaman Perkebunan Lainnya ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,14948.9,0,0,0,0,26080.41,0,0,0,6783.5,0,0,0,0,0,0,47812.81,2.615580416,0.382324319
