ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
42,Angkutan Udara,660361.6998,913.78464,0,0,0,0,0,0,0,0,0,329723.9576,230730.6216,98993.336,0,0,0
43,Travel Biro,1054.4955,0.9871128,0.4244235,0.3299127,0,0,0,1.53973845,1.09431255,1022.081796,0,0,16.591896,11.446308,0,0,0
44,Jasa Penunjang Angkutan Lainnya,1284.289,1.2022224,0.516913,0.4018066,0,0,0,1.8752751,1.3327829,1244.811768,0,0,20.207568,13.940664,0,0,0
45,"Komunikasi, pos, dan Giro",2323.6015,2.1751224,0.9352255,0.7269691,0,0,0,3.39284385,2.41133915,2252.177268,0,0,36.560568,25.222164,0,0,0
46,Perbankan,1998.0105,1.8703368,0.8041785,0.6251037,0,0,0,2.91742695,2.07345405,1936.594476,0,0,31.437576,21.687948,0,0,0
47,Money Changer,232.2035,0.2173656,0.0934595,0.0726479,0,0,0,0.33905565,0.24097135,225.065892,0,0,3.653592,2.520516,0,0,0
48,Persewaan Bangunan dan Tanah,2041.752,1.9112832,0.821784,0.6387888,0,0,0,2.9812968,2.1188472,1978.991424,0,0,32.125824,22.162752,0,0,0
49,Lembaga Keuangan Lainnya,1112.3355,1.0412568,0.4477035,0.3480087,0,0,0,1.62419445,1.15433655,1078.143876,0,0,17.501976,12.074148,0,0,0
50,Jasa Perusahaan,994.607,0.9310512,0.400319,0.3111758,0,0,0,1.4522913,1.0321627,964.034184,0,0,15.649584,10.796232,0,0,0
51,Jasa Pemerintahan Umum,24290.2695,22.7381112,9.7765815,7.5995283,0,0,0,35.46782505,25.20745395,23543.62088,0,0,382.193784,263.665332,0,0,0
52,Jasa Sosial kemasyarakatan,463.8045,0.4341672,0.1866765,0.1451073,0,0,0,0.67723155,0.48131745,449.547804,0,0,7.297704,5.034492,0,0,0
53,Atraksi Budaya,9.5195,0.0089112,0.0038315,0.0029783,0,0,0,0.01390005,0.00987895,9.226884,0,0,0.149784,0.103332,0,0,0
54,"Jasa Hiburan ,Perorangan dan Lainnya",4756.135,4.452216,1.914295,1.488019,0,0,0,6.9447465,4.9357235,4609.93812,0,0,74.83512,51.62676,0,0,0
