ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,11.9253376,0,0,0,0,2.07874491,4.520054081,0,5.24792003,0,0,0,0,0,0,0.000457133,0.004203268,0,0,0.073958179,0,0,0,0,0,0,0
2,Jagung,1.444460713,0,0,0,0,0.251788709,0.547493141,0,0.63565616,0,0,0,0,0,0,5.53704E-05,0.000509122,0,0,0.00895821,0,0,0,0,0,0,0
3,Tanaman Umbi-umbian,3.009829413,0,0,0,0,0.524653287,1.140813969,0,1.324519657,0,0,0,0,0,0,0.000115376,0.001060861,0,0,0.018666264,0,0,0,0,0,0,0
4,Sayur-sayuran dan buah-buahan,26.51865162,0,0,0,0,4.622553584,10.05134978,0,11.66992228,0,0,0,0,0,0,1.02E-03,0.009346906,0,0,0.164462529,0,0,0,0,0,0,0
5,Kacang Tanah,2.196660737,0,0,0,0,0.382907174,0.832599098,0,0.966672833,0,0,0,0,0,0,8.42045E-05,0.000774247,0,0,0.013623181,0,0,0,0,0,0,0
6,Kacang kedelai,0.273599318,0,0,0,0,0.047691999,0.103702198,0,0.1204014,0,0,0,0,0,0,1.05E-05,9.64343E-05,0,0,0.0016968,0,0,0,0,0,0,0
7,Tanaman Bahan Mkanan Lainnya,0.051697746,0,0,0,0,0.009011605,0.019594968,0,0.022750353,0,0,0,0,0,0,1.98E-06,1.82217E-05,0,0,0.000320617,0,0,0,0,0,0,0
8,Kelapa,1.87054608,0,0,0,0,0.326061054,0.708992041,0,0.823161286,0,0,0,0,0,0,7.17036E-05,0.000659303,0,0,0.011600693,0,0,0,0,0,0,0
9,Tembakau,0.318613937,0,0,0,0,0.055538646,0.120764063,0,0.140210744,0,0,0,0,0,0,1.22134E-05,0.0001123,0,0,0.00197597,0,0,0,0,0,0,0
10,Kopi,1.73080124,0,0,0,0,0.30170167,0.656024632,0,0.761664516,0,0,0,0,0,0,6.63E-05,0.000610047,0,0,0.010734028,0,0,0,0,0,0,0
