Year,Populasi
2010,3907400
2011,3956480
2012,4005560
2013,4054640
2014,4103720
2015,4152800
2016,4198400
2017,4244000
2018,4289600
2019,4335200
2020,4380800
2021,4421840
2022,4462880
2023,4503920
2024,4544960
2025,4586000
2026,4621880
2027,4657760
2028,4693640
2029,4729520
2030,4765400
