Year,Energi,Limbah,Kehutanan,Pertanian
2010,3758951.124,376.3121273,0,1928626.112
2011,3990353.032,68.3495792,0,1973702.45
2012,4283081.859,51.2993312,0,2020064.43
2013,4596034.992,39.6857914,0,2070031.21
2014,4928178.034,31.7368569,0,2123602.79
2015,5277948.032,26.2625042,0,2180779.17
2016,5636182.776,22.4631619,0,2241560.35
2017,5998484.472,19.8012192,0,2305946.33
2018,6359898.609,17.914865,0,2373937.11
2019,6715132.413,16.5603032,0,2445532.69
2020,7058858.59,15.5729963,0,2520733.07
2021,7420855.861,57.6946028,0,2599538.25
2022,7804701.23,28.8543229,0,2681948.23
2023,8211865.654,28.8543229,0,2767963.01
2024,8643926.748,28.8543229,0,2857582.59
2025,9102576.877,28.8543229,0,2950806.97
2026,9589631.879,28.8543229,0,3047636.15
2027,10107040.47,28.854323,0,3148070.13
2028,10656894.36,28.8543229,0,3252108.91
2029,11241439.22,28.8543229,0,3359752.49
2030,11863086.42,28.8543231,0,3471000.87
