153892,10871,17724,103170,11436,176831,262906,7434,197455,69559,25422,64203,8924,6954,45726,40976,242671,5626,110541,0,267114,3732,171515,5266,2388,26401,0,1416,333,48029,5494,467760,471404,129739,9410,196868,40686,52808,21723,21601,82820,24729,76800,1604562,10970,84095,55908,1064,355710,0
680340,77424,106857,355716,43783,410770,684792,19349,648496,208270,61480,201272,24661,14371,238462,127179,857258,63302,164652,0,384819,4664,299903,11951,5356,39741,0,1728,519,34114,6492,293654,998386,373186,7987,267742,30643,103437,32497,58646,257798,64565,310028,0,3458,48326,13758,2086,231217,0
16728,547,1012,2948,4928,11924,39546,1495,22042,13691,2322,4487,966,219,11193,4603,53594,2808,22032,0,83968,1010,75482,2718,621,11683,0,636,70,10384,1317,92839,88634,46475,2375,102635,19150,35276,4337,40074,10318,4019,37413,80228,640,13496,3953,568,40835,0
10405,858,981,2726,3724,5016,11677,828,9941,3242,823,3099,547,48,3795,1804,17510,2207,26047,0,110372,103,22396,831,427,4567,0,310,114,595,207,48185,117104,26207,2579,24325,10340,8787,1892,2187,479,62,24089,0,300,3004,484,131,4619,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
