0,0,0,98515,0
96731,445,0,3219,7385
95422,3053,0,4907,2575
372254,22742,0,19597,16613
45953,643,0,3187,6512
311781,119,0,27462,55145
0,0,0,59049,356359
1354,0,0,1378,18364
626,0,0,40464,901292
9660,0,0,14199,299603
18870,264,0,3280,10105
93929,1258,7349,11908,87945
14827,512,1002,1685,6555
23321,255,0,1139,1135
941,0,0,18447,41766
14548,0,0,8569,70257
579064,2722,0,66963,198569
0,0,0,2337,75523
27,3187,0,17704,112285
112685,25993,0,1233,0
2581346,180656,0,139797,538743
216184,6330,571,963,45
157874,17952,61871,52312,944047
21532,73869,0,1940,12
93886,45957,0,864,28
35511,9669,223,6770,0
0,0,0,1263,0
129240,37000,238488,491,0
68101,12411,15047,72,0
86514,18660,0,0,0
20050,927,0,0,0
0,63380,1750771,0,0
807085,34271,35619,48851,470297
1073718,319754,0,0,207
22052,15126,0,0,208
693132,4201,4366,5989,117101
142103,556,578,792,7696
276266,1415,1471,2018,19479
29218,449,467,640,6333
107661,0,0,0,36
233055,27133,0,0,301
71105,2122,0,0,22
252207,25308,0,0,16
0,1684790,0,0,0
17321,5743,0,0,0
188447,670,0,0,0
98765,43,0,0,1
5383,656,0,0,65
462805,72355,0,0,77
0,0,0,0,0
