Year,Energi,Limbah,Kehutanan,Pertanian
2010,1339.422061,254.3558087,11876543,2476534.324
2011,1431.772774,303.7224588,12244552.13,2055042.97
2012,1534.657913,341.6199874,24294435.11,2132955.91
2013,1649.230469,371.7491872,36153689.83,2210868.85
2014,1776.799376,396.6048479,47826246.64,2288781.79
2015,1918.850114,417.871963,59315932.99,2366694.73
2016,2077.068806,436.6914947,70626480.19,2444607.67
2017,2253.37039,453.8386764,81761529.2,2522520.61
2018,2449.931622,469.8426658,92724635.78,2600433.55
2019,2669.229802,485.0668651,103519274.9,2678346.49
2020,2914.088335,499.7628609,114148844.4,2756259.43
2021,3183.859018,541.4486131,124616669.1,2834172.37
2022,3481.173758,564.5517635,134926002.7,2912085.31
2023,3808.948626,587.6549139,145080031.4,2989998.25
2024,4170.415058,610.7580644,155081875.6,3067911.19
2025,4569.154522,633.8612148,164934592.5,3145824.13
2026,5009.137056,656.9643652,174641177.3,3223737.07
2027,5494.764101,680.0675156,184204565.5,3301650.01
2028,6030.916121,703.1706661,193627633.9,3379562.95
2029,6623.005543,726.2738165,202913202.4,3457475.89
2030,7277.035628,749.3769669,210321654,3535388.83
