Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LPC,LRC
Padi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,11825.3,13951.15,53655.4,0,0,0,0,0,0,0,0,0,79431.85,62.24350811,0.016065933
Jagung,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,11825.3,13951.15,13413.85,0,0,0,0,0,0,0,0,0,39190.3,27.78019051,0.035996873
Kacang tanah,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,11825.3,13951.15,0,0,0,0,0,0,0,0,0,0,25776.45,23.5949481,0.042381954
Kedelai,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,67.73333333,0,0,0,0,13951.15,0,0,0,0,0,0,0,0,0,0,14018.88333,47.14562382,0.021210876
Tanaman umbi-umbian,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,67.73333333,0,0,0,0,13951.15,0,0,0,0,0,0,0,0,0,0,14018.88333,16.7153827,0.059825133
Tanaman bahan makanan lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,67.73333333,0,0,0,0,13951.15,0,0,0,0,0,0,0,0,0,0,14018.88333,18.28954517,0.054676045
Bawang merah,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,11825.3,13951.15,0,0,0,0,0,0,0,0,0,0,25776.45,60.79650223,0.016448315
Tomat,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,67.73333333,0,0,0,0,13951.15,0,0,0,0,0,0,0,0,0,0,14018.88333,6.45864566,0.154831222
Cabe,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,67.73333333,0,0,0,0,13951.15,0,0,0,0,0,0,0,0,0,0,14018.88333,64.93106322,0.015400949
Sayuran lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,67.73333333,0,0,0,11825.3,13951.15,13413.85,0,0,0,0,0,0,0,0,0,39258.03333,7.948997275,0.125802031
