ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
1,Padi,5069849.58,0,0,1586861.483,0,0,0,1586861.483,1863932.535,29077.69306,0,0,280.088496,2836.298448,0,0,0
2,Jagung,328959.208,0,0,0,97128.4584,0,0,0,226633.0696,4694.544576,0,0,45.219816,457.915608,0,0,0
3,Kacang tanah,9273.87,0,0,0,1885.005,0,0,0,4398.345,2701.037664,0,0,26.017524,263.464812,0,0,0
4,Kedelai,16981.11,0,0,0,4097.925,0,0,0,9561.825,2999.852352,0,0,28.895832,292.611816,0,0,0
5,Tanaman umbi-umbian,11798.16,0,0,0,3168.9,0,0,0,7394.1,1115.596512,0,0,10.745892,108.817596,0,0,0
6,Tanaman bahan makanan lainnya,4568.61,0,0,0,993.555,0,0,0,2318.295,1135.105632,0,0,10.933812,110.720556,0,0,0
7,Bawang merah,23935.44,0,0,0,4573.26,0,0,0,10670.94,7849.927968,0,0,75.613788,765.698244,0,0,0
8,Tomat,4703.61,0,0,0,1297.755,0,0,0,3028.095,341.192832,0,0,3.286512,33.280656,0,0,0
9,Cabe,9726.96,0,0,0,1589.58,0,0,0,3709.02,3999.694752,0,0,38.526732,390.138516,0,0,0
10,Sayuran lainnya,9838.935,0,0,0,2485.4085,0,0,0,5799.2865,1403.789568,0,0,13.521888,136.928544,0,0,0
11,Mangga,18112.71,0,0,0,4978.665,0,0,0,11616.885,1370.298912,0,0,13.199292,133.661796,0,0,0
12,Nanas,7091.31,0,0,0,1970.073,0,0,0,4596.837,473.63808,0,0,4.56228,46.19964,0,0,0
13,Buah-buahan Lainnya,27255.93,0,0,0,7719.831,0,0,0,18012.939,1375.718112,0,0,13.251492,134.190396,0,0,0
14,Kelapa,38407.182,0,0,0,0,0,0,0,21462.837,0,0,0,5083.3035,11861.0415,0,0,0
15,Tembakau,10668.9405,0,0,0,1733.79015,0,0,0,4045.51035,4416.322848,0,0,42.539868,430.777284,0,0,0
16,Jambu Mete,4163.7915,0,0,0,784.16145,0,0,0,1829.71005,1399.887744,0,0,13.484304,136.547952,0,0,0
17,Kopi,1585.878,0,0,0,169.2954,0,0,0,395.0226,922.672992,0,0,8.887572,89.999436,0,0,0
18,Tanaman perkebunan lainnya,2446.506,0,0,0,422.4438,0,0,0,985.7022,937.846752,0,0,9.033732,91.479516,0,0,0
19,Sapi,150409.65,0,0,0,0,0,0,0,25068.275,0,0,0,0,125341.375,0,0,0
20,Kerbau,20758.95,0,0,0,0,0,0,0,3459.825,0,0,0,0,17299.125,0,0,0
21,Ternak lainnya dan hasil2nya,14246.0156,0,0,0,956.0667,0,0,0,2838.3917,0,0,0,0,10451.5572,0,0,0
22,Ayam ras Petelur,38.80905,0,0,0,9.050715,0,0,0,21.118335,7.803648,0,0,0.075168,0.761184,0,0,0
23,Ayam ras pedaging,1092.17265,0,0,0,225.915795,0,0,0,527.136855,306.293184,0,0,2.950344,29.876472,0,0,0
24,Unggas dan hasil-hasilnya,1213.437,0,0,0,307.8351,0,0,0,718.2819,169.187424,0,0,1.629684,16.502892,0,0,0
25,Kayu dan hasil hutan lainnya,1760.10864,0,0,0,443.0805624,0,0,0,1111.588078,185.553408,0,0,1.787328,18.099264,0,0,0
26,Rumput laut,24824.98517,0,0,0,11869.01258,0,0,0,11869.01258,981.742272,0,0,9.456552,95.761176,0,0,0
27,Perikanan laut,12201.41795,0,0,0,2733.748974,0,0,0,2733.748974,6082.076544,0,0,58.585104,593.258352,0,0,0
28,Budidaya Bandeng,789.8276232,0,0,0,259.6138116,0,0,0,259.6138116,244.40592,0,0,2.35422,23.83986,0,0,0
29,Perikanan darat lainnya,9664.735631,0,0,0,2029.827815,0,0,0,2029.827815,5062.508256,0,0,48.764196,493.807548,0,0,0
30,Pertambangan Bijih logam,14518.4425,2.94585825,6.385705,0.36747925,0,0,0,16.81368175,33.72977575,13058.64624,0,0,125.78634,1273.76742,0,0,0
31,Pertambangan dan penggalian lainnya,1749.5395,0.35498955,0.769507,0.04428295,0,0,0,2.02612645,4.06459405,1573.627296,0,0,15.157836,153.494868,0,0,0
32,Industri Makanan dan Minuman,1616.7485,0.32804565,0.711101,0.04092185,0,0,0,1.87234235,3.75608915,1454.188128,0,0,14.007348,141.844524,0,0,0
33,Pengolahan Tembakau,83.627,0.0169683,0.036782,0.0021167,0,0,0,0.0968477,0.1942853,75.218496,0,0,0.724536,7.336968,0,0,0
