Year,Populasi
2010,4516100
2011,4580000
2012,4643900
2013,4707800
2014,4771700
2015,4835600
2016,4893600
2017,4951600
2018,5009600
2019,5067600
2020,5125600
2021,5175600
2022,5225600
2023,5275600
2024,5325600
2025,5375600
2026,5417240
2027,5458880
2028,5500520
2029,5542160
2030,5583800
