Year,Populasi
2010,32443900
2011,32709940
2012,32975980
2013,33242020
2014,33508060
2015,33774100
2016,34007300
2017,34240500
2018,34473700
2019,34706900
2020,34940100
2021,35143800
2022,35347500
2023,35551200
2024,35754900
2025,35958600
2026,36117220
2027,36275840
2028,36434460
2029,36593080
2030,36751700
