ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,431.575061,0,0,0,0,75.22927159,163.5796554,0,189.9209467,0,0,0,0,0,0,1.65E-02,1.52E-01,0,0,2.676528465,0,0,0,0,0,0,0
2,Jagung,87.6335571,0,0,0,0,15.27569423,33.21569843,0,38.5644344,0,0,0,0,0,0,3.36E-03,0.030887794,0,0,0.543483003,0,0,0,0,0,0,0
3,Ketela Pohon,50.77342846,0,0,0,0,8.850483692,19.24462436,0,22.34359321,0,0,0,0,0,0,0.001946295,0.017895875,0,0,0.314885031,0,0,0,0,0,0,0
4,Umbi Lainnya,20.44384299,0,0,0,0,3.563633666,7.748818443,0,8.996613489,0,0,0,0,0,0,7.84E-04,0.007205747,0,0,0.126787974,0,0,0,0,0,0,0
5,Bawang Merah,70.9023819,0,0,0,0,12.35922792,26.87409039,0,31.20163492,0,0,0,0,0,0,0.002717898,0.024990634,0,0,0.439720133,0,0,0,0,0,0,0
6,Sayur-Sayuran,95.32571,0,0,0,0,16.61653876,36.13125086,0,41.9494793,0,0,0,0,0,0,3.65E-03,0.033599011,0,0,0.591187952,0,0,0,0,0,0,0
7,Pisang,26.60570456,0,0,0,0,4.637728069,10.08434541,0,11.70823121,0,0,0,0,0,0,1.02E-03,9.38E-03,0,0,0.165002411,0,0,0,0,0,0,0
8,Buah-Buahan,80.84376293,0,0,0,0,14.09214282,30.64216652,0,35.57648571,0,0,0,0,0,0,0.00309898,0.028494626,0,0,0.501374274,0,0,0,0,0,0,0
9,Kacang Tanah,10.44753979,0,0,0,0,1.821145102,3.959925199,0,4.597593391,0,0,0,0,0,0,0.000400485,0.003682396,0,0,0.064793219,0,0,0,0,0,0,0
10,Kacang Lainnya,14.85398091,0,0,0,0,2.589246379,5.630096124,0,6.536712546,0,0,0,0,0,0,5.69E-04,0.005235514,0,0,0.092120946,0,0,0,0,0,0,0
11,Bahan Makanan Lainnya,8.085367268,0,0,0,0,1.409387022,3.06459226,0,3.558084664,0,0,0,0,0,0,3.10E-04,2.85E-03,0,0,0.050143573,0,0,0,0,0,0,0
12,Karet,5.53369299,0,0,0,0,0.964596267,2.097432578,0,2.435182907,0,0,0,0,0,0,2.12E-04,0.001950435,0,0,0.034318681,0,0,0,0,0,0,0
13,Tebu,2.422039449,0,0,0,0,0.422193681,0.918024266,0,1.065854047,0,0,0,0,0,0,9.28E-05,8.54E-04,0,0,0.015020927,0,0,0,0,0,0,0
14,Kelapa,0.059560787,0,0,0,0,0.010382237,0.022575292,0,0.0262106,0,0,0,0,0,0,2.28314E-06,2.09931E-05,0,0,0.000369382,0,0,0,0,0,0,0
15,Tembakau,22.53573208,0,0,0,0,3.928277749,8.541706002,0,9.917180019,0,0,0,0,0,0,0.000863861,0.007943065,0,0,0.139761385,0,0,0,0,0,0,0
16,Kopi,6.250837141,0,0,0,0,1.089604028,2.369251326,0,2.750772727,0,0,0,0,0,0,0.000239613,0.002203204,0,0,0.038766243,0,0,0,0,0,0,0
17,Cengkeh,8.767623026,0,0,0,0,1.528313273,3.323187281,0,3.858321335,0,0,0,0,0,0,0.000336089,0.003090283,0,0,0.054374765,0,0,0,0,0,0,0
18,Hasil Tanaman Serat,7.815058088,0,0,0,0,1.362268538,2.962137122,0,3.439131138,0,0,0,0,0,0,3.00E-04,0.002754537,0,0,0.048467178,0,0,0,0,0,0,0
19,Perkebunan Teh ,0.941578817,0,0,0,0,0.164129708,0.356886096,0,0.414355593,0,0,0,0,0,0,3.60935E-05,0.000331874,0,0,0.005839454,0,0,0,0,0,0,0
20,Hasil Perkebunan Lainnya,37.37740967,0,0,0,0,6.515379497,14.16713881,0,16.44847831,0,0,0,0,0,0,1.43E-03,1.32E-02,0,0,0.231806029,0,0,0,0,0,0,0
21,Hasil Pertanian Lainnya,11.20795825,0,0,0,0,1.95369615,4.248146184,0,4.932226705,0,0,0,0,0,0,0.000429634,0.003950417,0,0,0.069509158,0,0,0,0,0,0,0
22,Ternak dan Hasil-hasilnya,9.869100838,0,0,0,0,1.720315501,3.740679804,0,4.34304283,0,0,0,0,0,0,3.78E-04,0.003478516,0,0,0.061205875,0,0,0,0,0,0,0
23,Unggas dan Hasil-hasilnya,182.4325249,0,0,0,0,31.80041482,69.14729849,0,80.28211306,0,0,0,0,0,0,0.006993178,0.064301146,0,0,1.131404221,0,0,0,0,0,0,0
24,Kayu,27.37916992,0,0,0,0,4.772553366,10.37751155,0,12.04860601,0,0,0,0,0,0,1.05E-03,9.65E-03,0,0,1.70E-01,0,0,0,0,0,0,0
25,Hasil Hutan Lainnya,8.227556908,0,0,0,0,1.434172567,3.11848632,0,3.620657304,0,0,0,0,0,0,3.15E-04,2.90E-03,0,0,0.0510254,0,0,0,0,0,0,0
26,Ikan Laut dan Hasil Laut Lainnya,14.2933055,0,0,0,0,2.4915132,5.417583635,0,6.289979094,0,0,0,0,0,0,5.48E-04,0.005037895,0,0,0.088643767,0,0,0,0,0,0,0
27,Ikan Darat dan Hasil Perairan Darat,38.4684409,0,0,0,0,6.705560747,14.58067177,0,16.92860263,0,0,0,0,0,0,1.47E-03,0.013558793,0,0,0.238572351,0,0,0,0,0,0,0
28,Jasa Pertanian,2.198406161,0,0,0,0,0.383211425,0.833260665,0,0.967440932,0,0,0,0,0,0,8.42714E-05,0.000774862,0,0,0.013634005,0,0,0,0,0,0,0
29,Garam Kasar,6.6335423,0,0,0,0,1.156314626,2.51430785,0,2.919187755,0,0,0,0,0,0,0.000254283,0.002338094,0,0,0.041139691,0,0,0,0,0,0,0
30,Pertambangan Lainnya,51.395829,29.60778652,0.00353621,0,0,0.108000131,0.234837102,0,4.215601813,0.205008796,0,0.05659209,16.91833556,0,0,2.37501E-05,0.000218379,0,0,0.045888654,0,0,0,0,0,0,0
31,Barang Galian Segala Jenis,868.3808618,500.2513954,0.059747593,0,0,1.824763765,3.967793673,0,71.22655683,3.463816383,0,0.956176575,285.8511886,0,0,0.000401281,0.003689713,0,0,0.775331958,0,0,0,0,0,0,0
32,Ind. Pengolahan dan Pengawetan Makanan,1079.863528,117.5417398,0.078296223,0,0,6.168993131,13.4139511,0,77.41546248,9.073645783,0,24.50046691,123.4894867,0,0,1.36E-03,0.012473841,0,668.1102313,40.05742424,0,0,0,0,0,0,0
33,Ind. Minyak dan Lemak,2158.246534,234.9223267,0.156485099,0,0,12.3295284,26.80951132,0,154.7247862,18.13485135,0,48.96734301,246.8096659,0,0,2.71E-03,0.024930581,0,1335.304465,80.05992865,0,0,0,0,0,0,0
34,Ind. Penggilingan Padi,4435.721758,482.8225413,0.321614954,0,0,25.34018082,55.10006888,0,317.9970824,37.27153198,0,100.6398043,507.2539157,0,0,0.005572518,0.051238409,0,2744.375574,164.5426331,0,0,0,0,0,0,0
35,Ind. Tepung Terigu dan Tepung Lainnya,698.8737229,76.07149531,0.050672304,0,0,3.992492648,8.681335839,0,50.10228706,5.872346314,0,15.85638563,79.92080023,0,0,0.000877983,0.008072909,0,432.3923093,25.9246474,0,0,0,0,0,0,0
36,Ind. Roti dan Kue Kering Lainya,678.2013113,73.8213302,0.049173437,0,0,3.874396275,8.424545317,0,48.62028099,5.698644605,0,15.38735993,77.55677419,0,0,8.52E-04,0.007834115,0,419.6023137,25.15780646,0,0,0,0,0,0,0
37,Ind. Kopi Giling dan Kupasan,341.0189313,37.11946691,0.024725804,0,0,1.948156772,4.236101276,0,24.44766176,2.865440778,0,7.737202734,38.99775451,0,0,0.000428416,0.003939216,0,210.9879916,12.65006146,0,0,0,0,0,0,0
38,Ind. Makanan Lainnya,1426.949633,155.3216107,0.103461931,0,0,8.151810165,17.72541817,0,102.2980802,11.99006651,0,32.37532462,163.1810624,0,0,0.001792651,0.016483141,0,882.8519758,52.93254687,0,0,0,0,0,0,0
39,Ind. Bumbu Masak dan Penyedap Makanan,157.9632342,17.19409249,0.011453229,0,0,0.90240487,1.962202672,0,11.32439101,1.327299605,0,3.58394639,18.06413329,0,0,1.98E-04,0.001824683,0,97.73165793,5.859629594,0,0,0,0,0,0,0
40,Ind. Makanan Ternak,856.2885976,93.20589958,0.062085774,0,0,4.891764876,10.63672685,0,61.38736616,7.195038281,0,19.42789057,97.92222501,0,0,1.08E-03,9.89E-03,0,529.7846979,31.76393566,0,0,0,0,0,0,0
41,Ind. Gula Tebu dan Gula Kelapa,4213.116237,458.5922199,3.05E-01,0,0,24.06849055,52.33488652,0,302.0384831,35.40107002,0,95.5892224,481.7975123,0,0,0.005292863,0.048667023,0,2606.649813,156.2851046,0,0,0,0,0,0,0
42,Ind. Minuman,386.2319732,42.04084768,0.028004006,0,0,2.206447692,4.797732925,0,27.68898666,3.245347234,0,8.763018134,44.1681628,0,0,4.85E-04,0.004461486,0,2.39E+02,14.32723451,0,0,0,0,0,0,0
