Year,Populasi
2010,10688600
2011,10941920
2012,11195240
2013,11448560
2014,11701880
2015,11955200
2016,12196260
2017,12437320
2018,12678380
2019,12919440
2020,13160500
2021,13378200
2022,13595900
2023,13813600
2024,14031300
2025,14249000
2026,14439560
2027,14630120
2028,14820680
2029,15011240
2030,15201800
