Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LPC,LRC
Tanaman Pangan ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,3046.5,0,0,0,0,89056.5,22406.2,0,0,0,0,0,0,0,0,0,114509.2,83.77034079,0.011937399
Tanaman Hortikultura ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,3046.5,0,0,0,11763.7,59371,0,0,0,0,0,0,0,0,0,0,74181.2,28.65158135,0.034902088
Perkebunan ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,9139.5,0,0,0,0,59371,0,0,0,0,0,0,0,0,0,0,68510.5,26.10586073,0.038305575
Peternakan ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,29685.5,0,0,0,0,0,0,0,0,0,0,29685.5,366.9767686,0.002724968
Jasa Pertanian dan Perburuan  ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,23527.4,0,0,0,0,0,0,0,0,0,0,0,23527.4,11.89146381,0.084093936
Kehutanan dan Penebangan Kayu,Pertanian Kehutanan dan Perikanan,745.1,18903,0,0,0,247.2,4143.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24038.85,3.413459715,0.292957903
Perikanan ,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2884.2,0,0,0,0,223.9,0,0,0,3108.1,548.9568066,0.001821637
Pertambangan Minyak Bumi Gas Alam dan Panas Batubara dan Lignit,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.85,0,0,0,0,0,270.85,383.4410042,0.002607963
Pertambangan Bijih Logam,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.7,0,0,0,0,0,541.7,191.5791693,0.005219774
Pertambangan dan Penggalian Lainnya,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083.4,0,0,0,0,0,1083.4,152.981355,0.006536744
Industri Batubara dan Pengilangan Migas,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,1497.247666,0.000667892
Industri Makanan Minuman dan Tembakau,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,13367.31524,7.48E-05
Industri Tekstil ,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,7794.867467,0.00012829
Industri Pakaian Jadi,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,3486.971949,0.000286782
Industri Kulit Barang dari Kulit,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,351.7520622,0.002842912
Industri Alas Kaki ,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,11005.7041,9.09E-05
Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya ,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,851.8403546,0.001173929
Industri Kertas dan Barang dari Kertas,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,5856.308199,0.000170756
Industri Percetakan dan Reproduksi Media Rekaman ,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,82.9683862,0.012052784
Industri Kimia,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,25868.89049,3.87E-05
Industri Farmasi Produk Obat Kimia dan Obat Tradisional,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,442.8855135,0.00225792
Industri Karet Barang dari Karet,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,6559.899695,0.000152441
Industri Barang dari Plastik,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,2936.76797,0.00034051
Industri Barang Galian bukan Logam,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,3717.10952,0.000269026
Industri Besi Dan Baja Dasar (24101),Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,6211.554616,0.00016099
Industri Barang-Barang Dari Besi Dan Baja Dasar (24102-3),Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,16037.63559,6.24E-05
Industri Logam Dasar Bukan Besi (242),Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,1274.480386,0.000784633
Industri Barang-Barang Dari Logam Dasar Bukan Besi (243),Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,30.72807578,0.032543528
Industri Barang dari Logam,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,7737.091717,0.000129248
Industri Komputer Barang Elektronik Optik dan Peralatan Listrik,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.5,0,0,0,0,0,0,0,1913.5,8224.082424,0.000121594
