ID,Sektor,Labour
1,Tanaman Pangan ,396982
2,Tanaman Hortikultura ,31366
3,Perkebunan ,48878
4,Peternakan ,116841
5,Jasa Pertanian dan Perburuan  ,4693
6,Kehutanan dan Penebangan Kayu,3094
7,Perikanan ,28268
8,Pertambangan Minyak Bumi Gas Alam dan Panas Batubara dan Lignit,415
9,Pertambangan Bijih Logam,588
10,Pertambangan dan Penggalian Lainnya,4636
11,Industri Batubara dan Pengilangan Migas,11923
12,Industri Makanan Minuman dan Tembakau,121484
13,Industri Tekstil ,125223
14,Industri Pakaian Jadi,40863
15,Industri Kulit Barang dari Kulit,6601
16,Industri Alas Kaki ,234333
17,Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya ,9916
18,Industri Kertas dan Barang dari Kertas,53605
19,Industri Percetakan dan Reproduksi Media Rekaman ,961
20,Industri Kimia,31244
21,Industri Farmasi Produk Obat Kimia dan Obat Tradisional,6785
22,Industri Karet Barang dari Karet,70374
23,Industri Barang dari Plastik,33855
24,Industri Barang Galian bukan Logam,63378
25,Industri Besi Dan Baja Dasar (24101),18363
26,Industri Barang-Barang Dari Besi Dan Baja Dasar (24102-3),52411
27,Industri Logam Dasar Bukan Besi (242),3546
28,Industri Barang-Barang Dari Logam Dasar Bukan Besi (243),431
29,Industri Barang dari Logam,94441
30,Industri Komputer Barang Elektronik Optik dan Peralatan Listrik,74829
31,Industri Mesin dan Perlengkapan YTDL,10302
32,Industri Alat Angkutan,49111
33,Industri Furnitur,8950
34,Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan,11857
35,Ketenagalistrikan ,34586
36,Gas,10410
37,Pengadaan Air ,8541
38,Konstruksi,224736
39,Perdagangan Besar dan Eceran dan Reparasi Mobil dan Sepeda Motor ,643101
40,Angkutan Rel ,7120
41,Angkutan Darat,78997
42,Angkutan Laut ,899
43,Angkutan Sungai Danau dan Penyeberangan,2369
44,Angkutan Udara,81336
45,Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir,29193
46,Penyediaan Akomodasi ,9207
47,Penyediaan Makan Minum,192783
48,Informasi dan Komunikasi ,273295
49,Bank,26433
50,Asuransi dan Dana Pensiun,34341
51,Jasa Keuangan Lainnya dan Jasa Penunjang Keuangan,1439
52,Real Estate ,294531
53,Jasa Perusahaan ,420594
54,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib ,269791
55,Jasa Pendidikan ,2277158
56,Jasa Kesehatan dan Kegiatan Sosial ,1162568
57,Jasa Hiburan Rekreasi dan Kebudayaan Swasta,97068
58,Jasa lainnya ,830535
