Year,Energi,Limbah,Kehutanan,Pertanian
2010,398.6813163,99.59337542,9101545,191314.0709
2011,445.8098731,119.2366261,18269420.23,210569.6749
2012,496.4970694,134.5735114,27504568.16,219309.0881
2013,550.3038651,147.017,36807998.46,228085.9191
2014,606.6157956,157.5218199,46180821.3,236889.0298
2015,664.6500983,166.7324484,55624295.95,245711.0589
2016,723.4789312,175.0874324,65139902.04,254547.0021
2017,782.0699093,182.8858406,74729444.51,263393.3736
2018,839.3432372,190.3331759,84395208.56,272247.6915
2019,894.2424686,197.5719958,94140188.66,281108.1552
2020,945.8137093,204.7024792,103968427.3,289973.4357
2021,1001.001749,221.1397469,113886140.7,298842.5368
2022,1060.125078,231.0985531,123901582.8,307714.7012
2023,1123.486365,241.0573592,134025943.4,316589.3464
2024,1191.412122,251.0161654,144275436.8,325466.0186
2025,1264.254598,260.9749716,154673710.6,334344.361
2026,1342.393825,270.9337778,165255412.7,343224.0901
2027,1426.239815,280.892584,176071475.6,352104.9785
2028,1516.234951,290.8513902,187196940.6,360986.8428
2029,1612.856549,300.8101964,198742547.6,369869.5332
2030,1716.619633,310.7690025,211321456,378752.9272
