Year,Populasi
2010,1043300
2011,1067100
2012,1090900
2013,1114700
2014,1138500
2015,1162300
2016,1185600
2017,1208900
2018,1232200
2019,1255500
2020,1278800
2021,1301240
2022,1323680
2023,1346120
2024,1368560
2025,1391000
2026,1412680
2027,1434360
2028,1456040
2029,1477720
2030,1499400
