Year,Energi,Limbah,Kehutanan,Pertanian
2010,405.2174647,74.06,5016543,113837.4112
2011,456.0851035,78.15,5235004.478,125721.6279
2012,516.5404946,81.98,10412475.97,131608.6508
2013,585.9654055,85.79,15533981.24,137600.6088
2014,663.158881,89.58,20601042.12,143678.1966
2015,746.1813658,93.34,25615136.84,149826.6541
2016,832.3019381,97.09,30577701.32,156034.4905
2017,918.0747219,100.83,35490130.44,162292.6169
2018,999.5596663,104.56,40353779.26,168593.7441
2019,1072.681471,108.28,45169964.19,174931.9532
2020,1133.692489,111.99,49939964.15,181302.3847
2021,1197.884715,116.75,54665021.68,187701.0091
2022,1265.786442,120.86,59346344.03,194124.4551
2023,1337.617679,124.95,63985104.19,200569.8789
2024,1413.611909,129,68582441.91,207034.8639
2025,1494.016942,133.03,73139464.68,213517.3422
2026,1579.095835,137.02,77657248.71,220015.5335
2027,1669.127858,141,82136839.82,226527.896
2028,1764.409535,144.95,86579254.36,233053.0875
2029,1865.255756,148.89,90985480.07,239589.9334
2030,1972.000953,152.8,91563214,246137.4015
