Year,Populasi
2010,1164600
2011,1188120
2012,1211640
2013,1235160
2014,1258680
2015,1282200
2016,1306760
2017,1331320
2018,1355880
2019,1380440
2020,1405000
2021,1429560
2022,1454120
2023,1478680
2024,1503240
2025,1527800
2026,1551680
2027,1575560
2028,1599440
2029,1623320
2030,1647200
