Sektor,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LRC,LPC
Produk Kehutanan dan Penebangan Kayu,64053.6,145352.1,0,55.8,0,1269.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210731.4,1.489088943,0.671551558
Hasil Perikanan tangkap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9261.5,0,0,0,0,4141.5,0,13403,0.005440117,183.8195926
Hasil perikanan budidaya ikan darat dan hasil perikanan darat lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9261.5,0,0,0,0,4141.5,0,13403,0.006689315,149.4921286
Batubara dan Lignit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3866.1,44.1,0,0,3910.2,0,0
Hasil Pertambangan dan Penggalian Lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,0,0,29.4,2.84409E-05,35160.61224
Produk pengolahan Batubara dan Pengilangan Migas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0,0
Minyak Sawit dan Minyak Goreng Sawit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,7.26525E-05,13764.14233
Produk Makanan Minuman dan pengolahan tembakau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.00024871,4020.74913
Tekstil dan Pakaian Jadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.00711831,140.4827807
Produk Kayu olahan Barang dari Kayu dan Gabus dan Sejenisnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.015992313,62.53004213
Kertas dan Barang dari Kertas Percetakan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.036300887,27.54753618
