ID,Sektor,Total,Padat_Ditimbun_di_TPA,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
1,Padi,2788944.04,0,0,878412.78,0,0,0,878412.78,1031786.44,282.765264,0,0,1.99224,47.282496,0,0,0
2,Umbi-umbian,7869.78,0,0,0,2357.55,0,0,0,5500.95,9.606048,0,0,0.06768,1.606272,0,0,0
3,Kacang-kacangan,299.07,0,0,0,89.325,0,0,0,208.425,1.124112,0,0,0.00792,0.187968,0,0,0
4,Jagung dan tanaman pangan lainnya,7617.304,0,0,0,2284.7952,0,0,0,5331.1888,1.124112,0,0,0.00792,0.187968,0,0,0
5,Sayuran-sayuran,44942.4,0,0,0,13482,0,0,0,31458,2.04384,0,0,0.0144,0.34176,0,0,0
6,Buah-buahan,188016.09,0,0,0,56399.715,0,0,0,131599.335,14.511264,0,0,0.10224,2.426496,0,0,0
7,Karet,7502.333,0,0,0,2177.6559,0,0,0,5081.1971,207.347568,0,0,1.46088,34.671552,0,0,0
8,Kelapa,16560.4752,0,0,0,0,0,0,0,9254.3832,0,0,0,2191.8276,5114.2644,0,0,0
9,Kelapa Sawit,4522247.652,0,0,0,831164.0942,0,0,0,831164.0942,0,0,0,1187581.557,1672337.907,0,0,0
10,Tanaman perkebunan tahunan lainnya,126.123,0,0,0,37.3689,0,0,0,87.1941,1.328496,0,0,0.00936,0.222144,0,0,0
11,Ternak,2534.9658,0,0,0,321.3204,0,0,0,2213.6454,0,0,0,0,0,0,0,0
12,Unggas dan Hasil-hasilnya,1942.3518,0,0,0,468.36954,0,0,0,1092.86226,324.561792,0,0,2.28672,54.271488,0,0,0
13,Kayu,336705.3557,0,0,0,95799.36297,0,0,0,240338.7527,483.061584,0,0,3.40344,80.774976,0,0,0
14,Hasil Hutan Bukan Kayu,3270.89952,0,0,0,928.6153632,0,0,0,2329.684157,10.73016,0,0,0.0756,1.79424,0,0,0
15,Ikan,2827.164025,0,0,0,1164.642013,0,0,0,1164.642013,423.994608,0,0,2.98728,70.898112,0,0,0
16,Biota Air Lainnya,17.52,0,0,0,0,0,0,0,0,14.920032,0,0,0.10512,2.494848,0,0,0
17,Gas Alam,202.681,0.0707281,0.0518056,0.0028594,0,0,0,0.4483371,0.2672698,171.886944,0,0,1.21104,28.742016,0,0,0
18,Batubara dan Lignit,625.636,0.2183236,0.1599136,0.0088264,0,0,0,1.3839276,0.8250088,530.580864,0,0,3.73824,88.720896,0,0,0
19,Barang tambang logam lainnya,575.508,0.2008308,0.1471008,0.0081192,0,0,0,1.2730428,0.7589064,488.068992,0,0,3.43872,81.612288,0,0,0
20,Penggalian,187.6185,0.06547185,0.0479556,0.0026469,0,0,0,0.41501835,0.2474073,159.112944,0,0,1.12104,26.606016,0,0,0
21,Minyak nabati,253.6525,0.08851525,0.064834,0.0035785,0,0,0,0.56108775,0.3344845,215.11416,0,0,1.5156,35.97024,0,0,0
22,Industri Pengolahan dan pengawet makanan dan minuman,27.3535,0.00954535,0.0069916,0.0003859,0,0,0,0.06050685,0.0360703,23.197584,0,0,0.16344,3.878976,0,0,0
23,Industri Tekstil dan Pakaian Jadi,0.241,0.0000841,0.0000616,0.0000034,0,0,0,0.0005331,0.0003178,0.204384,0,0,0.00144,0.034176,0,0,0
24,"Industri Kayu,Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu,Rotan dan Sejenisnya ",8.676,0.0030276,0.0022176,0.0001224,0,0,0,0.0191916,0.0114408,7.357824,0,0,0.05184,1.230336,0,0,0
25,Kayu Lapis dan sejenisnya,4.6995,0.00163995,0.0012012,0.0000663,0,0,0,0.01039545,0.0061971,3.985488,0,0,0.02808,0.666432,0,0,0
26,Produk pertukangan dan bahan bangunan dari kayu,8.917,0.0031117,0.0022792,0.0001258,0,0,0,0.0197247,0.0117586,7.562208,0,0,0.05328,1.264512,0,0,0
27,"Industri Kertas dan Barang dari Kertas,Percetakan dan Reproduksi Media Rekaman ",1.205,0.0004205,0.000308,0.000017,0,0,0,0.0026655,0.001589,1.02192,0,0,0.0072,0.17088,0,0,0
28,Industri barang dari kilang minyak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
