Year,Populasi
2010,2220800
2011,2275640
2012,2330480
2013,2385320
2014,2440160
2015,2495000
2016,2549840
2017,2604680
2018,2659520
2019,2714360
2020,2769200
2021,2821560
2022,2873920
2023,2926280
2024,2978640
2025,3031000
2026,3079520
2027,3128040
2028,3176560
2029,3225080
2030,3273600
