Year,Energi,Limbah,Kehutanan,Pertanian
2010,29.20347565,4323.8,0,4659342.655
2011,30.61181849,1249.7,1942071.18,4820647.843
2012,32.16784671,951.5,1897629.58,4946938.663
2013,33.88307988,746.8,1855998.564,5081409.194
2014,35.77250547,605.4,1816956.253,5198310.302
2015,37.85418141,507.6,1780300.565,5315211.692
2016,39.97829419,439.7,1745847.238,5432113.351
2017,42.13862509,392.4,1713428.06,5549015.27
2018,44.33001545,359.6,1682889.35,5665917.436
2019,46.54880012,337,1654090.53,5782819.84
2020,48.79322691,321.6,1626902.91,5899722.472
2021,51.05864659,439.3,1601208.58,6016625.322
2022,53.45867385,438.6,1576899.47,6133528.382
2023,56.00275497,440.9,1553876.37,6250431.643
2024,58.70108776,445.9,1532048.2,6367335.097
2025,61.56468775,452.8,1511331.26,6484238.735
2026,64.60546083,461.4,1491648.63,6601142.551
2027,67.83628278,471.4,1472929.47,6718046.537
2028,71.27108659,482.7,1455108.65,6834950.686
2029,74.92495809,476.4,1438126.1,6951854.991
2030,78.81424112,529.6,0,7068759.446
