Year,Populasi
2010,2646000
2011,2692140
2012,2738280
2013,2784420
2014,2830560
2015,2876700
2016,2920760
2017,2964820
2018,3008880
2019,3052940
2020,3097000
2021,3137500
2022,3178000
2023,3218500
2024,3259000
2025,3299500
2026,3335720
2027,3371940
2028,3408160
2029,3444380
2030,3480600
