Year,Populasi
2010,3467500
2011,3509840
2012,3552180
2013,3594520
2014,3636860
2015,3679200
2016,3719820
2017,3760440
2018,3801060
2019,3841680
2020,3882300
2021,3918760
2022,3955220
2023,3991680
2024,4028140
2025,4064600
2026,4095720
2027,4126840
2028,4157960
2029,4189080
2030,4220200
