Year,Energi,Limbah,Kehutanan,Pertanian
2010,1988868.629,608.206841,0,1431785.479
2011,2065382.676,15.5540848,138789.9261,1354994.54
2012,2154267.001,15.0431713,137929.4949,1321338.095
2013,2253925.391,14.6226618,137122.3799,1296680.872
2014,2366134.196,14.1989053,136365.5364,1278904.53
2015,2493096.877,13.8056126,135656.0917,1266489.565
2016,2637570.322,13.4351289,134991.3352,1258320.978
2017,2803035.349,13.0865055,134368.7082,1253564.24
2018,2993928.742,12.7567267,133785.7956,1251583.789
2019,3215961.538,12.4424854,133240.316,1251888.078
2020,3476559.063,12.1408564,132730.115,1254091.68
2021,3768280.54,11.8492605,132253.16,1257888.627
2022,4104434.397,11.5654288,131807.527,1263033.306
2023,4494358.643,11.2857755,131391.398,1269326.55
2024,4949670.818,11.0116543,131003.06,1276605.36
2025,5484859.464,10.742116,130640.888,1284735.207
2026,6118032.729,10.4816145,130303.348,1293604.194
2027,6871866.226,10.230476,129988.993,1303118.584
2028,7774803.596,9.9905033,129696.447,1313199.327
2029,8862577.617,9.7575773,129424.418,1323779.353
2030,10180137.95,9.5313872,0,1334801.428
