ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
1,Padi,1699868.32,0,0,532717.605,0,0,0,532717.605,625731.79,7658.901864,0,0,721.339428,321.078708,0,0,0
2,Jagung,257459.872,0,0,0,76486.0296,0,0,0,178467.4024,2206.168488,0,0,207.783876,92.487636,0,0,0
3,Ketela pohon,170250.15,0,0,0,50159.925,0,0,0,117039.825,2684.96208,0,0,252.87816,112.55976,0,0,0
4,Kacang tanah,10838.46,0,0,0,2651.31,0,0,0,6186.39,1761.068952,0,0,165.863004,73.828044,0,0,0
5,Kedelai,6809.52,0,0,0,1720.98,0,0,0,4015.62,944.384184,0,0,88.945068,39.590748,0,0,0
6,Sayur-sayuran,13182.645,0,0,0,2587.5135,0,0,0,6037.5315,4011.59952,0,0,377.82504,168.17544,0,0,0
7,Buah-buahan,37153.47,0,0,0,9890.649,0,0,0,23078.181,3683.320128,0,0,346.906656,154.413216,0,0,0
8,Tanaman Pangan & Hortikultura lainnya,7153.38,0,0,0,329.49,0,0,0,768.81,5329.681416,0,0,501.966132,223.432452,0,0,0
9,Tebu,2602.461,0,0,0,766.4103,0,0,0,1788.2907,42.038352,0,0,3.959304,1.762344,0,0,0
10,Kelapa,38592.8084,0,0,0,0,0,0,0,21566.5694,0,0,0,5107.8717,11918.3673,0,0,0
11,Tembakau,70.6575,0,0,0,11.54925,0,0,0,26.94825,28.307232,0,0,2.666064,1.186704,0,0,0
12,Tanaman perkebunan lainnya,1530.33,0,0,0,275.679,0,0,0,643.251,538.15428,0,0,50.68506,22.56066,0,0,0
13,Ternak sapi & hasilnya kecuali susu segar,44162.25,0,0,0,0,0,0,0,7360.375,0,0,0,0,36801.875,0,0,0
14,Susu segar,157.7345,0.1932084,0.10229835,0.03501575,0,0,0,0.28791455,0.03606295,138.261816,0,0,13.021932,5.796252,0,0,0
15,Unggas dan hasil-hasilnya,14982.8724,0,0,0,566.75772,0,0,0,1322.43468,11525.05714,0,0,1085.466072,483.156792,0,0,0
16,Hasil pemeliharaan hewan lainnya,4790.4775,5.867838,3.10685325,1.06344625,0,0,0,8.74411225,1.09525025,4199.08212,0,0,395.48274,176.03514,0,0,0
17,Jasa pertanian dan perburuan,1458.05,1.78596,0.945615,0.323675,0,0,0,2.661395,0.333355,1278.0504,0,0,120.3708,53.5788,0,0,0
18,Kehutanan dan penebangan kayu,3026.0421,0,0,0,9.0977985,0,0,0,22.8243015,2635.424424,0,0,248.212548,110.483028,0,0,0
19,Ikan laut dan hasil lainnya,203.832312,0,0,0,48.336156,0,0,0,48.336156,94.322232,0,0,8.883564,3.954204,0,0,0
20,Ikan darat dan hasil perairan darat,4092.18324,0,0,0,747.09162,0,0,0,747.09162,2286.7596,0,0,215.3742,95.8662,0,0,0
21,"Pertambangan, garam kasar dan penggalian lainnya ",615.8755,0.7543836,0.39942465,0.13671925,0,0,0,1.12416445,0.14080805,539.844264,0,0,50.844228,22.631508,0,0,0
22,"Ind. Daging, jeroan dan sejenisnya",837.475,1.02582,0.5431425,0.1859125,0,0,0,1.5286525,0.1914725,734.0868,0,0,69.1386,30.7746,0,0,0
23,Ind. Pengolahan & pengawetan makanan,181.8345,0.2227284,0.11792835,0.04036575,0,0,0,0.33190455,0.04157295,159.386616,0,0,15.011532,6.681852,0,0,0
24,Ind. Beras,2472.5395,3.0286044,1.60355985,0.54888325,0,0,0,4.51315405,0.56529845,2167.298856,0,0,204.123012,90.858132,0,0,0
25,Ind. Susu dan makanan dari susu,3737.91,4.578552,2.424213,0.829785,0,0,0,6.822849,0.854601,3276.45648,0,0,308.58696,137.35656,0,0,0
26,Ind. Tepung terigu & tepung lainnya,26.992,0.0330624,0.0175056,0.005992,0,0,0,0.0492688,0.0061712,23.659776,0,0,2.228352,0.991872,0,0,0
