ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
69,Informasi dan komunikasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Bank,53.59615932,0,0,0,0,8.859941132,19.26518876,0,4.593899735,1.063343712,0,2.824579167,0.57972124,0,0,0.001948375,0.017914998,0,2.90359E-05,16.38959316,0,0,0,0,0,0,0
71,Asuransi dan dana pensiun,7.383295579,0,0,0,0,1.220527087,2.653932386,0,0.632846085,0.146484021,0,0.389108159,0.079861194,0,0,0.000268404,0.002467933,0,3.99993E-06,2.25779631,0,0,0,0,0,0,0
72,Jasa keuangan lainnya,12.16101111,0,0,0,0,2.010327678,4.371286628,0,1.042359498,0.241273533,0,0.640899256,0.13153921,0,0,0.000442088,0.004064927,0,6.58828E-06,3.718811704,0,0,0,0,0,0,0
73,Jasa penunjang keuangan,0.467599233,0,0,0,0,0.07729848,0.168078974,0,0.040079439,0.009277133,0,0.024643017,0.005057773,0,0,1.69986E-05,0.000156299,0,2.53324E-07,0.142990865,0,0,0,0,0,0,0
74,Real Estate,4.326035559,0,0,0,0,0.121969315,0.265211907,0,0.686711987,0.158952288,0,0.422227842,0.091062605,0,0,2.68221E-05,0.000246625,0,0.005149089,2.57447708,0,0,0,0,0,0,0
75,"Jasa hukum, akuntan, konsultan, arsitek, penelitian",22.37073804,0,0,0,0,3.027508355,6.583059533,0,3.352075626,0.775900378,0,2.06103823,0.221236822,0,0,0.000665774,0.006121689,0,0.088433249,6.254698384,0,0,0,0,0,0,0
76,Jasa Periklanan,5.146740718,0,0,0,0,3.485986262,0,0,0.1630606,0.037743415,0,0.100258517,0.046210234,0,0,0,0.007048742,0,0,1.306432948,0,0,0,0,0,0,0
77,"Jasa Agen Perjalanan, Penyelenggara Tur & Jasa Reservasi Lainnya",3.809214498,0,0,0,0,2.580054085,0,0,0.120684689,0.027934721,0,0.074203504,0.034201197,0,0,0,0.005216927,0,0,0.966919376,0,0,0,0,0,0,0
78,Jasa perusahaan lainnya,12.73946737,0,0,0,0,1.913647107,4.161062945,0,0.496195817,0.11485377,0,0.305088149,0.194155729,0,0,0.000420827,0.003869437,0,0.061098516,5.489075071,0,0,0,0,0,0,0
79,"Adm. Pemerintahan, pertahanan & jaminan sosial wajib",376.8466172,0,0,0,0,50.9999393,110.8950322,0,56.46744233,13.07044193,0,34.71925171,3.726848339,0,0,0.011215314,0.103123012,0,1.489703672,105.3636194,0,0,0,0,0,0,0
80,Jasa pendidikan,230.2610746,0,0,0,0,54.96049738,119.5069291,0,4.604978104,1.065908007,0,2.83139075,0.752789778,0,0,0.012086274,0.111131348,0,25.13286236,21.28250156,0,0,0,0,0,0,0
81,Jasa kesehatan dan kegiatan sosial,133.3350056,0,0,0,0,28.76701291,62.55142394,0,5.237741082,1.212372791,0,3.22044781,0.915487954,0,0,0.006326107,0.05816754,0,5.483801282,25.88222421,0,0,0,0,0,0,0
82,"Kebudayaan, hiburan dan rekreasi",19.04817982,0,0,0,0,2.861304414,6.221663192,0,0.741916979,0.171730512,0,0.456170871,0.2903036,0,0,0.000629225,0.005785621,0,0.091355116,8.207320288,0,0,0,0,0,0,0
83,Jasa lainnya,70.39437172,0,0,0,0,10.57422433,22.99275183,0,2.74182521,0.634646545,0,1.685823116,1.072844739,0,0,0.00232536,0.021381317,0,0.337611574,30.33093769,0,0,0,0,0,0,0
