Year,Populasi
2010,9640400
2011,9747900
2012,9855400
2013,9962900
2014,10070400
2015,10177900
2016,10271320
2017,10364740
2018,10458160
2019,10551580
2020,10645000
2021,10722800
2022,10800600
2023,10878400
2024,10956200
2025,11034000
2026,11089200
2027,11144400
2028,11199600
2029,11254800
2030,11310000
