2897,0,0,0,0,0
23662,0,0,0,0,0
0,0,0,0,0,0
552220,0,0,0,0,0
0,0,0,0,0,0
74500,0,3,0,0,0
0,0,0,0,0,6221
0,0,0,0,0,0
300754,0,0,0,0,618253
0,0,0,0,0,4084720
0,0,0,0,0,0
146042,0,0,0,4593,4593
32258,0,0,0,4571,4571
285303,0,0,456,997417,1329477
1947609,0,0,3076,3852409,15757673
976777,0,0,973,60019,570595
4574478,0,0,5129,607269,6249443
1227695,0,0,2059,1565979,2279333
1085668,0,0,4725,228267,286098
1039001,0,0,0,42554,689376
423094,0,0,23,623353,781611
0,0,0,0,0,0
434787,0,131,83,1005403,5031751
3117703,0,0,574125,10951651,15578769
442205,0,0,186,513664,641530
23819,0,0,16,457098,569786
111258,0,0,2662,321550,1873704
630557,0,0,52527,0,2909735
2351201,0,0,604,6126168,28751497
3300994,0,0,24955,1058487,15375859
127712,0,0,799,2468450,8517518
29496,0,0,2572,1124588,2485999
166692,0,0,907,11419289,18321418
309870,0,486237,54017,1505966,13422893
118147,0,51404,663,1454749,1454749
924831,0,0,27131,4348266,7394868
0,0,427138,3628,3521544,3521544
30251740,0,26370358,633361,26818937,118992736
1161615,0,14056,251,611629,4876214
946965,0,199424,2184,1478455,3611838
0,0,0,2,0,0
3402684,0,0,0,0,0
3167981,0,0,0,0,0
302485,0,0,0,256835,256835
0,0,156434325,0,1374832,4302537
0,0,205019085,0,0,11521298
0,0,96511814,0,2062247,9152954
11074184,0,3831765,196926,3225446,26019301
78398199,0,33055229,1698809,29086483,102923552
524842,0,9132,469,10186,73906
8095445,0,976058,50163,4906451,13369512
291501,0,95741,4920,7378925,17551794
21700,0,914,47,-6108,81118
3521,0,149,8,178687,628783
194693,0,26693,1372,20591096,25522771
492509,0,0,0,13942468,15752488
100959403,0,0,0,16683978,67810685
86291,0,485292,0,1590404,25685341
31628270,0,0,0,15465964,26269650
9943492,0,0,0,4530936,51473032
1440445,0,0,0,10530936,34844592
1276274,0,0,0,0,15021622
826120,0,0,0,0,4035737
84448680,0,0,0,2930839,18662677
12482940,0,3077809,0,7500219,43256077
2802110,134825029,0,0,4001717,16543392
27831556,29639652,0,0,1193688,46166588
18709090,9643773,0,0,0,6219739
15484526,0,5617467,0,4449061,6979201
236973,0,0,0,0,949061
17615906,0,6200573,0,2158722,14568204
852339,0,0,0,0,1895154
