Year,Energi,Limbah,Kehutanan,Pertanian
2010,11831472.3,1003.129989,0,2702893.694
2011,12421030.68,288.165786,11195.42468,2967943.308
2012,13010978.7,220.099509,11015.43387,3042974.167
2013,13594803.89,173.865099,10849.03036,3118005.026
2014,14165807.16,142.330617,10694.89137,3193035.885
2015,14717344.59,120.711389,10551.84625,3268066.744
2016,15264583.69,105.796446,10418.85712,3343097.603
2017,15804359.01,95.429979,10295.00202,3418128.462
2018,16333526.12,88.163726,10179.46053,3493159.321
2019,16849021.08,83.023945,10071.50108,3568190.18
2020,17347920.49,79.355183,9970.47002,3643221.039
2021,17858478.9,244.553766,9875.7823,3718251.898
2022,18388349.6,131.239343,9786.913,3793282.757
2023,18938373.07,131.239343,9703.3902,3868313.616
2024,19509429.12,131.239343,9624.7894,3943344.475
2025,20102438.72,131.239342,9550.7266,4018375.334
2026,20718366.1,131.239343,9480.8555,4093406.193
2027,21358220.74,131.239343,9414.8615,4168437.052
2028,22023059.64,131.239342,9352.4595,4243467.911
2029,22713989.6,131.239343,9293.39,4318498.77
2030,23432169.68,131.239343,0,4393529.629
