ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
1,Padi,657022.88,0,206098.515,0,0,206098.515,242083.97,2664.010608,0,0,11.241708,66.627684,0,0,0
2,Jagung,419892.928,0,0,123684.5784,0,0,288597.3496,7394.8476,0,0,31.2051,184.9473,0,0,0
3,Kedelai,727.05,0,0,198.495,0,0,463.155,63.54264,0,0,0.26814,1.58922,0,0,0
4,Tanaman Pangan Lainnya,1271.64,0,0,360.36,0,0,840.84,68.439504,0,0,0.288804,1.711692,0,0,0
5,Bawang Merah,40.8,0,0,10.26,0,0,23.94,6.41256,0,0,0.02706,0.16038,0,0,0
6,Tomat,317.22,0,0,89.37,0,0,208.53,18.771312,0,0,0.079212,0.469476,0,0,0
7,Cabe Rawit,2626.74,0,0,575.19,0,0,1342.11,689.291904,0,0,2.908704,17.239392,0,0,0
8,Sayur-sayuran Lainnya,161.46,0,0,26.73,0,0,62.37,70.304976,0,0,0.296676,1.758348,0,0,0
9,Buah-buahan,1964.49,0,0,556.875,0,0,1299.375,105.165984,0,0,0.443784,2.630232,0,0,0
10,Tebu,4465.5,0,0,1287.09,0,0,3003.21,170.22432,0,0,0.71832,4.25736,0,0,0
11,Kelapa,25358.08,0,0,0,0,0,24086.68,1235.29224,0,0,5.21274,30.89502,0,0,0
12,Cengkeh,359.28,0,0,34.02,0,0,79.38,238.897008,0,0,1.008108,5.974884,0,0,0
13,Kakao,938.73,0,0,226.935,0,0,529.515,177.103248,0,0,0.747348,4.429404,0,0,0
14,"Tanaman Hias, Tanaman Biofarmaka, dan Tanaman Perkebunan Lainnya",1940.55,0,0,546.345,0,0,1274.805,116.00904,0,0,0.48954,2.90142,0,0,0
15,Sapi,21860.375,0,0,0,0,0,0,0,0,0,0,21860.375,0,0,0
16,Ternak Lainnya dan Hasil-hasilnya,11529.375,0,0,0,0,0,0,0,0,0,0,11529.375,0,0,0
17,Ayam,291731.283,0,0,104.897385,0,0,244.760565,0,0,0,0,291381.625,0,0,0
18,Unggas dan Hasil-hasilnya,6077.284,0,0,2.1852,0,0,5.0988,0,0,0,0,6070,0,0,0
19,Jasa Pertanian dan Perburuan,330.3654828,0.0183714,0.0105567,0,0,1.1358735,0.1606812,319.695264,0,0,1.349064,7.995672,0,0,0
20,Kehutanan dan Penebangan Kayu,645.5500572,0.0358986,0.0206283,0,0,2.2195515,0.3139788,624.699936,0,0,2.636136,15.623928,0,0,0
