ID,Sektor,TOTAL,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
31,Penggilingan Padi dan Penyosohan Beras,377.4269519,41.08243258,0.027365592,0,0,2.156146785,4.688357877,0,27.05775431,3.171362289,0,8.563245545,43.16125079,0,0,0.000474155,0.004359777,0,233.513589,14.00061317,0,0,0,0,0,0,0
32,Gula,108.5611308,11.81673782,0.007871297,0,0,0.620182878,1.348534942,0,7.782752107,0.9121942,0,2.463087533,12.41467831,0,0,0.000136383,0.001254024,0,67.16663757,4.027063753,0,0,0,0,0,0,0
33,Industri Makanan Lainnya dan Minuman,419.6278713,45.67594774,0.030425398,0,0,2.397230195,5.212573257,0,30.08314003,3.525959129,0,9.520720451,47.98720309,0,0,0.000527171,0.004847253,0,259.6232458,15.56605184,0,0,0,0,0,0,0
34,Industri Kain Kerawang,11.7607684,2.703794757,0.001801036,0,0,0.119765905,0.260420778,0,2.21565308,0.138318216,0,0.056830666,4.577861278,0,0,2.63375E-05,0.000242169,0,0.201091075,1.484963103,0,0,0,0,0,0,0
35,Industri Tekstil dan Pakaian Jadi Lainnya,42.44289803,9.757600972,0.006499677,0,0,0.432217685,0.939820611,0,7.995968845,0.499170271,0,0.205093586,16.52083374,0,0,9.50483E-05,0.000873954,0,0.725708362,5.359015278,0,0,0,0,0,0,0
36,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",182.3437046,0.194635377,0.039360497,0,0,6.814566265,14.817695,0,14.6865072,0.667257676,0,2.163444709,83.61300731,0,0,0.00149858,0.013779205,0,32.20963007,27.12232268,0,0,0,0,0,0,0
37,Industri Barang Galian bukan Logam,48.07197926,26.15394899,0.17065179,0,0,0.174265896,0.378926376,0,5.075342072,1.62874889,0,1.067952936,10.12595047,0,0,3.83225E-05,0.00035237,0,0.011153159,3.284647985,0,0,0,0,0,0,0
38,Industri Furnitur,16.33428943,0.017435373,0.0035259,0,0,0.610446618,1.327364273,0,1.315612513,0.059772724,0,0.19380067,7.490025855,0,0,0.000134242,0.001234337,0,2.88532813,2.429608797,0,0,0,0,0,0,0
39,"Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan",9.826210083,0.279472435,0.000186161,0,0,0.15786819,0.343270959,0,0.323569058,0.014700836,0,0.322923731,5.59406417,0,0,3.47165E-05,0.000319213,0,0.975202403,1.814598211,0,0,0,0,0,0,0
40,"Pengadaan Listrik, Gas dan Air",2713.268499,583.9649648,0,0,0,0.26801177,0.58276881,0,298.3377953,141.426374,0,4.727990643,719.354809,0,0,5.8938E-05,0.000541926,0,2.1355E-07,36.71081694,0,0,50.11508465,872.5526518,0,0,0
41,Konstruksi,24132.0416,0,0,0,0,630.4473647,1370.854197,0,1809.218984,660.4504711,0,16774.32392,484.7584776,0,0,0.138640655,1.274778596,0,2243.329185,157.2455803,0,0,0,0,0,0,0
42,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",2957.488153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",14136.76497,0,0,0,0,2011.31754,4373.438998,0,1377.937421,318.9492973,0,847.2307968,163.317389,0,0,0.44230557,4.06692881,0,422.8355638,4617.228727,0,0,0,0,0,0,0
44,Angkutan Darat,6702.116713,0,0,0,0,6678.101171,0,0,0,0,0,0,10.51227324,0,0,0,13.50326913,0,0,0,0,0,0,0,0,0,0
45,"Angkutan Laut, Sungai, Danau dan Penyeberangan",1219.121283,0,0,0,0,0,0,0,1037.004178,181.6687247,0,0.448380536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Angkutan Udara,21.32187504,0,0,0,0,0,0,21.32187504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",3.536494193,0,0,0,0,3.282207555,0,0,0.011592072,0.002683201,0,0.007127436,0.007729265,0,0,0,0.006636697,0,0,0.218517967,0,0,0,0,0,0,0
48,Penyediaan Akomodasi,12.62149665,0,0,0,0,1.666818308,3.624354706,0,1.442396697,0.333869598,0,0.886863862,0.144272428,0,0,0.000366547,0.003370344,0,0.440385195,4.078798965,0,0,0,0,0,0,0
49,Penyediaan Makan Minum,32.98896215,0,0,0,0,4.356583662,9.473020795,0,3.770010115,0.872639104,0,2.318007062,0.377086631,0,0,0.000958049,0.008809109,0,1.15104024,10.66080738,0,0,0,0,0,0,0
50,Informasi dan Komunikasi,31.58288081,0,0,0,0,21.3916913,0,0,1.000618408,0.231611779,0,0.615234566,0.283568258,0,0,0,0.043254476,0,0,8.016902023,0,0,0,0,0,0,0
51,Jasa Keuangan dan Asuransi,33.99995651,0,0,0,0,5.620507459,12.22131564,0,2.914245969,0.674556543,0,1.791836767,0.367759504,0,0,0.001235997,0.011364791,0,1.84196E-05,10.39711543,0,0,0,0,0,0,0
52,Real Estate dan Jasa Perusahaan,18.91072259,0,0,0,0,0.533173585,1.159340633,0,3.001875436,0.694840017,0,1.845716125,0.398068771,0,0,0.000117249,0.001078089,0,0.022508599,11.25400409,0,0,0,0,0,0,0
53,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2.900655966,0,0,0,0,0.392555675,0.853578942,0,0.434640026,0.100605535,0,0.267240304,0.02868622,0,0,8.63263E-05,0.000793756,0,0.011466516,0.811002666,0,0,0,0,0,0,0
54,"Jasa Pendidikan, Jasa Kesehatan dan Kegiatan Sosial",220.3437885,0,0,0,0,52.59336268,114.3597959,0,4.406642864,1.019999619,0,2.709443468,0.720367313,0,0,0.011565721,0.106344949,0,24.05039634,20.36586962,0,0,0,0,0,0,0
55,Jasa Lainnya,32.24604569,0,0,0,0,4.843809421,10.53245179,0,1.255967187,0.290717013,0,0.772236869,0.491445546,0,0,0.001065194,0.00979429,0,0.154652112,13.89390627,0,0,0,0,0,0,0
