Year,Populasi
2010,1044800
2011,1062480
2012,1080160
2013,1097840
2014,1115520
2015,1133200
2016,1150480
2017,1167760
2018,1185040
2019,1202320
2020,1219600
2021,1235620
2022,1251640
2023,1267660
2024,1283680
2025,1299700
2026,1313800
2027,1327900
2028,1342000
2029,1356100
2030,1370200
