ID,Sektor,Total,Padat_Ditimbun_di_TPA,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
1,Pertanian Padi,5424688.48,0,0,1706798.835,0,0,0,1706798.835,2004811.33,6101.142768,0,0,25.745868,152.591364,0,0,0
2,Pertanian Jagung,66510.144,0,0,0,19891.9872,0,0,0,46414.6368,197.740032,0,0,0.834432,4.945536,0,0,0
3,Pertanian Palawija Lainnya,18375,0,0,0,5436,0,0,0,12684,247.758,0,0,1.0455,6.1965,0,0,0
4,Pertanian Sayur-sayuran & Buah-buahan,52005.75,0,0,0,15131.205,0,0,0,35306.145,1523.85744,0,0,6.43044,38.11212,0,0,0
5,Perkebunan Karet,46153.592,0,6647.55,0,0,0,0,0,0,0,0,0,0,0,0,0,39506.042
6,Perkebunan Kepala Sawit,847596.805,0,0,0,0,0,0,0,311567.205,0,0,0,222559.4899,313470.1101,0,0,0
7,Tanaman Perkebunan Lainnya,11467.17,0,0,0,1911.195,0,0,0,4459.455,4951.778832,0,0,20.895732,123.845436,0,0,0
8,Pembibitan dan Budidaya Unggas,7605296.542,0,0,0,2734.625205,0,0,0,6380.792145,0,0,0,0,7596181.125,0,0,0
9,Pembibitan dan Budidaya Ternak Besar,61530.15,0,0,0,0,0,0,0,10255.025,0,0,0,0,51275.125,0,0,0
10,Pengusahaan Hutan Tanaman dan Alam,76633.00368,0,0,0,12546.61624,0,0,0,31476.59864,31683.6708,0,0,133.7001341,792.4178678,0,0,0
11,Pengusahaan Hasil Hutan Lainnya,29213.36418,0,0,0,4782.911433,0,0,0,11999.23395,12078.17219,0,0,50.96799708,302.0786168,0,0,0
12,Perikanan Laut,2301.230878,0,0,0,333.4154388,0,0,0,333.4154388,1587.98304,0,0,6.70104,39.71592,0,0,0
13,Perikanan Darat,7120.133255,0,0,0,2386.526628,0,0,0,2386.526628,2280.422928,0,0,9.623028,57.034044,0,0,0
14,Penambangan Minyak Bumi,480.313,0.0661676,0.0267062,0.0153461,0,0,0,1.6512005,0.2335796,464.735712,0,0,1.961112,11.623176,0,0,0
15,Penambangan Batubara,43432.92928,0,0,0,5990.284642,0,0,0,5990.284642,30559.11298,0,0,128.954676,764.292348,0,0,0
16,Penambangan Non Migas Lainnya,1964.542623,0,0,0,600.0113114,0,0,0,600.0113114,742.807632,0,0,3.134532,18.577836,0,0,0
17,Penggalian,2142.008,0.2950816,0.1190992,0.0684376,0,0,0,7.363708,1.0416736,2072.539392,0,0,8.745792,51.834816,0,0,0
18,Ikan Kering dan Asin,47.1155,0.0064906,0.0026197,0.00150535,0,0,0,0.16197175,0.0229126,45.587472,0,0,0.192372,1.140156,0,0,0
19,Industri Minyak Makan,9203.308,1.2678416,0.5117192,0.2940476,0,0,0,31.638758,4.4756336,8904.830592,0,0,37.576992,222.712416,0,0,0
