Year,Energi,Limbah,Kehutanan,Pertanian
2010,6003133.613,354.1164376,0,2958576.758
2011,6347264.409,66.6187312,14079542.66,3201636
2012,6685907.592,49.5840275,14041036.13,3261666.28
2013,7013935.04,37.9686325,14004206.75,3321696.56
2014,7327945.136,30.0063893,13968922.47,3381726.84
2015,7624761.116,24.5112389,13935065.18,3441757.12
2016,7931460.981,20.686248,13902529.01,3501787.4
2017,8247932.61,17.9955571,13871218.95,3561817.68
2018,8574054.85,14.8109698,13841049.55,3621847.96
2019,8909708.698,15.9596267,13811943.7,3681878.24
2020,9254790.289,13.672226,13783832,3741908.52
2021,9615913.007,55.7825446,13756651.6,3801938.8
2022,9994296.983,27.0426587,13730345.4,3861969.08
2023,10390855.33,27.0426587,13704861.6,3921999.36
2024,10806555.33,27.0426587,13680153.2,3982029.64
2025,11242421.88,27.0426586,13656177.1,4042059.92
2026,11699541.12,27.0426587,13632894,4102090.2
2027,12179064.42,27.0426587,13610267.8,4162120.48
2028,12682212.56,27.0426587,13588265.7,4222150.76
2029,13210280.31,27.0426586,13566856.9,4282181.04
2030,13764641.29,27.0426587,0,4342211.32
