ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Pertanian Padi,49.49400315,0,0,0,0,8.627462848,18.7596845,0,21.7805633,0,0,0,0,0,0,0.001897251,0.017444922,0,0,0.306950332,0,0,0,0,0,0,0
2,Pertanian Jagung,2.199133703,0,0,0,0,0.383338245,0.833536425,0,0.967761098,0,0,0,0,0,0,8.42993E-05,0.000775118,0,0,0.013638517,0,0,0,0,0,0,0
3,Pertanian Palawija Lainnya,2.80461022,0,0,0,0,0.488880853,1.063029852,0,1.234209935,0,0,0,0,0,0,1.08E-04,9.89E-04,0,0,0.017393542,0,0,0,0,0,0,0
4,Pertanian Sayur-sayuran & Buah-buahan,12.11588367,0,0,0,0,2.111959622,4.59227665,0,5.331772625,0,0,0,0,0,0,4.64E-04,0.004270429,0,0,0.075139901,0,0,0,0,0,0,0
5,Perkebunan Karet,14.36107896,0,0,0,0,2.503327016,5.443271776,0,6.319803805,0,0,0,0,0,0,5.51E-04,0.005061783,0,0,0.089064082,0,0,0,0,0,0,0
6,Perkebunan Kepala Sawit,26.3811612,0,0,0,0,4.598587175,9.999236862,0,11.6094176,0,0,0,0,0,0,1.01E-03,0.009298446,0,0,0.163609845,0,0,0,0,0,0,0
7,Tanaman Perkebunan Lainnya,8.437822815,0,0,0,0,1.470824711,3.19818329,0,3.713187906,0,0,0,0,0,0,3.23E-04,0.00297404,0,0,0.052329421,0,0,0,0,0,0,0
8,Pembibitan dan Budidaya Unggas,8.809157861,0,0,0,0,1.535553347,3.338930206,0,3.876599349,0,0,0,0,0,0,0.000337681,0.003104923,0,0,0.054632355,0,0,0,0,0,0,0
9,Pembibitan dan Budidaya Ternak Besar,4.084637735,0,0,0,0,0.712006669,1.54819797,0,1.797504851,0,0,0,0,0,0,0.000156576,0.001439693,0,0,0.025331976,0,0,0,0,0,0,0
10,Pengusahaan Hutan Tanaman dan Alam,2.704521488,0,0,0,0,0.471434056,1.025093276,0,1.190164418,0,0,0,0,0,0,1.04E-04,0.00095325,0,0,0.016772815,0,0,0,0,0,0,0
11,Pengusahaan Hasil Hutan Lainnya,5.375926874,0,0,0,0,0.937095535,2.037634574,0,2.365755609,0,0,0,0,0,0,2.06E-04,1.89E-03,0,0,0.033340252,0,0,0,0,0,0,0
12,Perikanan Laut,12.99778947,0,0,0,0,2.265687531,4.926544917,0,5.719868233,0,0,0,0,0,0,4.98E-04,0.004581271,0,0,0.080609277,0,0,0,0,0,0,0
13,Perikanan Darat,19.8046353,0,0,0,0,3.452211265,7.506539906,0,8.715320751,0,0,0,0,0,0,0.00075917,0.006980448,0,0,0.122823756,0,0,0,0,0,0,0
