Year,Populasi
2010,3642600
2011,3712040
2012,3781480
2013,3850920
2014,3920360
2015,3989800
2016,4052640
2017,4115480
2018,4178320
2019,4241160
2020,4304000
2021,4358860
2022,4413720
2023,4468580
2024,4523440
2025,4578300
2026,4625480
2027,4672660
2028,4719840
2029,4767020
2030,4814200
