Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LPC,LRC
Padi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,1319206,0,0,0,0,0,0,0,0,0,1319206,50.86406077,0.019660247
Jagung,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,114791.6667,81152.16667,0,0,0,0,0,0,0,0,0,0,195943.8333,98.53237171,0.010148949
Kedelai,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,114791.6667,81152.16667,0,0,0,0,0,0,0,0,0,0,195943.8333,12.3453843,0.081001934
Tanaman Pangan Lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,114791.6667,81152.16667,0,0,0,0,0,0,0,0,0,0,195943.8333,58.86234746,0.016988789
Tanaman Holtikultura Semusim,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,114791.6667,81152.16667,0,0,0,0,0,0,0,0,0,0,195943.8333,28.73211961,0.034804254
Tebu,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,114791.6667,81152.16667,0,0,0,0,0,0,0,0,0,0,195943.8333,57.27288432,0.01746027
Tembakau,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,11822.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11822.1,79.4946507,0.012579463
Perkebunan Semusim Lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,11822.1,0,0,0,114791.6667,81152.16667,0,0,0,0,0,0,0,0,0,0,207765.9333,0.271605025,3.681817012
Tanaman Holtikultura Tahunan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,11822.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11822.1,1345.813795,0.000743045
Tanaman Holtikultura Lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,11822.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11822.1,60.29264043,0.016585772
Kelapa,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,11822.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11822.1,1311.731471,0.000762351
Kopi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,11822.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11822.1,359.2136127,0.002783859
T e h,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,11822.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11822.1,25.94975648,0.038536007
Kakao,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,11822.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11822.1,159.361407,0.006275045
Karet,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,11822.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11822.1,158.6947922,0.006301404
Perkebunan Tahunan Lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,11822.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11822.1,498.6358215,0.002005472
Sapi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,747,37256.97124,2.68E-05
Kerbau,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,747,75.41899773,0.013259259
Domba dan Kambing,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,747,10707.12316,9.34E-05
