Year,Populasi
2010,37565800
2011,37822160
2012,38078520
2013,38334880
2014,38591240
2015,38847600
2016,39055340
2017,39263080
2018,39470820
2019,39678560
2020,39886300
2021,40038260
2022,40190220
2023,40342180
2024,40494140
2025,40646100
2026,40732340
2027,40818580
2028,40904820
2029,40991060
2030,41077300
