ID,Sektor,TOTAL,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,52.97006924,0,0,0,0,9.233387388,20.0772159,0,23.31025726,0,0,0,0,0,0,0.002030499,0.018670115,0,0,0.328508088,0,0,0,0,0,0,0
2,Jagung,13.27026078,0,0,0,0,2.313182903,5.029819566,0,5.839773236,0,0,0,0,0,0,0.000508688,0.004677307,0,0,0.082299081,0,0,0,0,0,0,0
3,Tanaman Pangan Lainnya,19.29215858,0,0,0,0,3.36287976,7.312296142,0,8.489797844,0,0,0,0,0,0,0.000739525,0.006799818,0,0,0.119645495,0,0,0,0,0,0,0
4,Tanaman Hortikultura Semusim,23.63191092,0,0,0,0,4.119356296,8.957190056,0,10.39956962,0,0,0,0,0,0,0.000905881,0.00832943,0,0,0.146559632,0,0,0,0,0,0,0
5,Tanaman Hortikultura Tahunan dan Lainnya,33.17006089,0,0,0,0,5.781982661,12.57242974,0,14.59697266,0,0,0,0,0,0,0.001271506,0.011691298,0,0,0.205713027,0,0,0,0,0,0,0
6,Perkebunan Semusim,0.023682307,0,0,0,0,0.004128141,0.008976292,0,0.010421747,0,0,0,0,0,0,9.07813E-07,8.34719E-06,0,0,0.000146872,0,0,0,0,0,0,0
7,Kelapa,46.38213877,0,0,0,0,8.085023509,17.58019627,0,20.41114165,0,0,0,0,0,0,0.001777964,0.016348097,0,0,0.287651271,0,0,0,0,0,0,0
8,Cengkih,41.39826654,0,0,0,0,7.216268313,15.69116195,0,18.21791546,0,0,0,0,0,0,0.001586918,0.014591455,0,0,0.256742451,0,0,0,0,0,0,0
9,Perkebunan Tahunan,45.78108826,0,0,0,0,7.980252414,17.35238043,0,20.14664055,0,0,0,0,0,0,0.001754924,0.016136248,0,0,0.283923695,0,0,0,0,0,0,0
10,Peternakan dan Hasil-hasilnya,3951.016909,0,0,0,0,688.7147822,1497.551742,0,1738.703043,0,0,0,0,0,0,0.151454148,1.392596611,0,0,24.50329081,0,0,0,0,0,0,0
11,Jasa Pertanian dan Perburuan  ,247.6096813,0,0,0,0,43.16165981,93.85135985,0,108.9642784,0,0,0,0,0,0,0.00949161,0.087273836,0,0,1.535617834,0,0,0,0,0,0,0
12,Kehutanan dan Penebangan Kayu,684.2620024,0,0,0,0,119.2759653,259.3554463,0,301.119548,0,0,0,0,0,0,0.026229784,0.241178655,0,0,4.243634289,0,0,0,0,0,0,0
13,Perikanan,19212.99042,0,0,0,0,3349.079697,7282.289078,0,8454.958732,0,0,0,0,0,0,0.73649067,6.771913651,0,0,119.154512,0,0,0,0,0,0,0
14,"Pertambangan Minyak, Gas dan Panas Bumi",34.57730651,19.91907767,0.002379038,0,0,0.07265869,0.157990145,0,2.836108665,0.137922709,0,0.038073168,11.38206126,0,0,1.59783E-05,0.000146917,0,0,0.030872273,0,0,0,0,0,0,0
15,Pertambangan Batubara dan Lignit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Pertambangan Bijih Logam,168.3184212,96.96381943,0.011580887,0,0,0.353694294,0.769078173,0,13.80585653,0.671392163,0,0.18533588,55.40658815,0,0,7.77803E-05,0.000715178,0,0,0.150282735,0,0,0,0,0,0,0
17,Pertambangan dan Penggalian Lainnya,694.162285,399.8886514,0.047760755,0,0,1.458671235,3.171756592,0,56.93675623,2.768889552,0,0.764344017,228.5024037,0,0,0.000320774,0.002949466,0,0,0.619781282,0,0,0,0,0,0,0
18,Industri Batubara dan Pengilangan Migas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Industri Makanan dan Minuman ,12881.07996,1402.088792,0.933951262,0,0,73.58642249,160.0074197,0,923.445173,108.2343776,0,292.252183,1473.036093,0,0,0.016182271,0.148793383,0,7969.508265,477.8223093,0,0,0,0,0,0,0
20,Pengolahan Tembakau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Industri Tekstil dan Pakaian Jadi,78.17479989,17.97234729,0.011971636,0,0,0.796093872,1.731038444,0,14.7276292,0.919412619,0,0.377758137,30.42942239,0,0,0.000175068,0.00160972,0,1.336668998,9.870672513,0,0,0,0,0,0,0
22,"Industri Kulit, Barang dari Kulit dan Alas Kaki ",0.921031642,0.001627145,1.08386E-06,0,0,0.038233185,0.083134811,0,0.153236531,0.00956621,0,0.003930459,0.474442975,0,0,8.4078E-06,7.73084E-05,0,0.002874078,0.153899446,0,0,0,0,0,0,0
23,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",167.1427054,0.178409688,0.036079227,0,0,6.24647308,13.58242467,0,13.46217328,0.611632046,0,1.983090135,76.64264738,0,0,0.001373652,0.012630508,0,29.52448906,24.86128271,0,0,0,0,0,0,0
24,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ",485.5014928,122.7669595,0.083189106,0,0,2.995235307,6.512884534,0,39.02805621,1.773176544,0,5.74915741,226.3652228,0,0,0.000658677,0.006056432,0,6.792720206,73.428176,0,0,0,0,0,0,0
25,"Industri Kimia, Farmasi dan Obat Tradisional",108.0383327,6.312536295,0.00420487,0,0,0.087028704,0.189236518,0,5.244503752,1.972007433,27.63892214,1.309843656,48.98187602,0,0,1.91383E-05,0.000175974,0,13.83375101,2.464227223,0,0,0,0,0,0,0
26,"Industri Karet, Barang dari Karet dan Plastik",4.361466863,0.050288388,3.34978E-05,0,0,0.149824509,0.325780657,0,0.42972612,0.01952391,0,0.428869073,2.226779004,0,0,3.29477E-05,0.000302948,0,0.007984956,0.722320852,0,0,0,0,0,0,0
27,Industri Barang Galian bukan Logam,1216.49792,661.8455292,4.318473069,0,0,4.40993076,9.589019526,0,128.4353831,41.21672683,0,27.02535959,256.2448618,0,0,0.000969781,0.008916978,0,0.282239158,83.1205102,0,0,0,0,0,0,0
28,Industri Logam Dasar ,299.042816,144.648664,0.083478304,0,0,1.254170893,2.727087984,0,23.92209941,29.09624445,0,6.923813656,68.24607414,0,0,0.000275803,0.002535961,0,0.000762636,22.13760878,0,0,0,0,0,0,0
29,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",1070.710889,68.09775462,0.045360882,0,0,3.746747171,8.146983193,0,36.31927975,1.734525529,0,38.10119683,689.5460223,0,0,0.000823941,0.007576006,0,1.29021298,223.6744057,0,0,0,0,0,0,0
30,Industri Mesin dan Perlengkapan YTDL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Industri Alat Angkutan,42.88113687,1.299194055,0.000865412,0,0,0.347204529,0.754966731,0,1.664742311,0.075634872,0,0.245230394,29.0645756,0,0,7.63532E-05,0.000702055,0,0,9.427944565,0,0,0,0,0,0,0
32,Industri Furnitur,38.01089111,1.081087844,0.000720128,0,0,0.610684134,1.327880731,0,1.251667541,0.056867488,0,1.249171214,21.63961102,0,0,0.000134295,0.001234817,0,3.772391598,7.019440296,0,0,0,0,0,0,0
33,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",98.44396427,2.799896819,0.001865051,0,0,1.581603727,3.439062843,0,3.24167919,0.147280445,0,3.23521398,56.04417661,0,0,0.000347808,0.003198038,0,9.770073072,18.17956669,0,0,0,0,0,0,0
34,Listrik,350.5567743,75.59442737,0,0,0,0.034694198,0.075439585,0,38.61991071,18.30768351,0,0.612039706,93.12068043,0,0,7.62954E-06,7.01524E-05,0,2.76441E-08,4.75222548,0,0,6.487411669,112.9521839,0,0,0
35,Pengadaan Gas dan Produksi Es,6.26939287,1.351938398,0,0,0,0.000620475,0.001349169,0,0.690682396,0.327416467,0,0.01094578,1.665379684,0,0,1.36448E-07,1.25461E-06,0,4.9439E-10,0.084989282,0,0,0.116021528,2.0200483,0,0,0
36,Air Bersih,155.0166636,33.42795455,0,0,0,0.01534182,0.033359483,0,17.07777497,8.095681569,0,0.270644758,41.17808655,0,0,3.37379E-06,3.10215E-05,0,1.22243E-08,2.101440316,0,0,2.868741916,49.94760327,0,0,0
37,Konstruksi,11517.00214,0,0,0,0,300.8806204,654.2393295,0,863.448657,315.1995846,0,8005.535864,231.3506878,0,0,0.066166168,0.608387308,0,1070.627486,75.04535729,0,0,0,0,0,0,0
38,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Angkutan Rel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Angkutan Darat,65577.35376,0,0,0,0,65342.37192,0,0,0,0,0,0,102.8581105,0,0,0,132.1237296,0,0,0,0,0,0,0,0,0,0
42,Angkutan Laut ,11014.40993,0,0,0,0,0,0,0,9369.034295,1641.324643,0,4.050989101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Angkutan Sungai Danau dan Penyeberangan,404.047497,0,0,0,0,0,0,404.047497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Angkutan Udara,42575.36154,0,0,0,0,0,0,42575.36154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",2942.55208,0,0,0,0,2730.972014,0,0,9.645223509,2.232566743,0,5.930407487,6.431161247,0,0,0,5.522086165,0,0,181.818621,0,0,0,0,0,0,0
46,Penyediaan Akomodasi ,74.85542429,0,0,0,0,9.885546474,21.49528038,0,8.554549411,1.980109896,0,5.25980179,0.855649221,0,0,0.002173914,0.019988795,0,2.61183135,24.19049306,0,0,0,0,0,0,0
47,Penyediaan Makan Minum,63.01355344,0,0,0,0,8.321686997,18.0948009,0,7.201249095,1.666863316,0,4.427719224,0.720288455,0,0,0.001830009,0.016826636,0,2.198648607,20.3636402,0,0,0,0,0,0,0
48,Informasi dan Komunikasi,255.3387343,0,0,0,0,172.9458251,0,0,8.089719218,1.872516284,0,4.97399893,2.292569842,0,0,0,0.349700306,0,0,64.81440462,0,0,0,0,0,0,0
49,Jasa Perantara Keuangan ,125.3085956,0,0,0,0,20.71467051,45.04228995,0,10.74060402,2.486112978,0,6.603906944,1.355396643,0,0,0.00455533,0.041885525,0,6.78864E-05,38.31910586,0,0,0,0,0,0,0
50,Asuransi dan Dana Pensiun,7.173495703,0,0,0,0,1.185845226,2.578519628,0,0.614863461,0.142321607,0,0.378051464,0.0775919,0,0,0.000260777,0.002397805,0,3.88627E-06,2.193639948,0,0,0,0,0,0,0
51,Jasa Keuangan Lainnya,52.5419101,0,0,0,0,8.685663979,18.88623791,0,4.503536633,1.042427488,0,2.769019022,0.568317985,0,0,0.00191005,0.017562606,0,2.84648E-05,16.06720596,0,0,0,0,0,0,0
52,Jasa Penunjang Keuangan,0.071832675,0,0,0,0,0.011874606,0.025820321,0,0.00615701,0.001425155,0,0.003785664,0.000776976,0,0,2.61133E-06,2.40107E-05,0,3.89156E-08,0.021966281,0,0,0,0,0,0,0
53,Real Estate,4.20892674,0,0,0,0,0.11866752,0.258032435,0,0.668122211,0.154649338,0,0.410797838,0.088597476,0,0,2.6096E-05,0.000239948,0,0.0050097,2.504784178,0,0,0,0,0,0,0
54,Jasa Perusahaan,12.76842943,0,0,0,0,0.776670666,1.688804334,0,2.632976305,0.609451438,0,1.618896895,0.185809195,0,0,0.000170796,0.001570445,0,0.000973387,5.253105971,0,0,0,0,0,0,0
55,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1030.494881,0,0,0,0,139.4603905,303.2447629,0,154.4113908,35.74139423,0,94.94051302,10.19114399,0,0,0.030668508,0.281992012,0,4.07362555,288.1189998,0,0,0,0,0,0,0
56,Jasa Pendidikan,136.452805,0,0,0,0,32.56961274,70.81985399,0,2.728911868,0.631657512,0,1.677883292,0.446103524,0,0,0.007162331,0.065856482,0,14.89374429,12.61201894,0,0,0,0,0,0,0
57,Jasa Kesehatan dan Kegiatan Sosial,881.4626167,0,0,0,0,190.1754634,413.5203772,0,34.62611291,8.014859175,0,21.29001563,6.052187147,0,0,0.041821177,0.384539018,0,36.25278902,171.104452,0,0,0,0,0,0,0
58,Jasa lainnya,117.1430357,0,0,0,0,17.59653092,38.2621605,0,4.562662051,1.056113168,0,2.805372542,1.785317299,0,0,0.003869625,0.035580577,0,0.561818278,50.47361075,0,0,0,0,0,0,0
