ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
1,Padi ,1084034.32,0,472475.43,0,0,472475.43,554971.14,3733.17408,0,0,47.92704,498.09888,0,0,0
2,Jagung ,98804.048,0,0,112279.98,0,0,261986.62,914.344992,0,0,11.738496,121.996512,0,0,0
3,Tanaman Pangan Lainnya ,46315.83,0,0,3869.19,0,0,9028.11,1375.809696,0,0,17.662848,183.567456,0,0,0
4,Tanaman Hortikultura Semusim ,22904.625,0,0,134270.865,0,0,313298.685,1314.35784,0,0,16.87392,175.36824,0,0,0
5,Tanaman Hortikultura Tahunan dan Lainnya ,12250.35,0,0,29305.71,0,0,68379.99,2167.669728,0,0,27.828864,289.221408,0,0,0
6,Perkebunan Semusim ,32565.75,0,0,0,0,0,0,1.151568,0,0,0.014784,0.153648,0,0,0
7,Kelapa ,33083.99,0,0,0,0,0,108045.5026,0,0,0,25589.7243,59709.3567,0,0,0
8,Cengkih ,35764.8164,0,0,374.98275,0,0,874.95975,2833.90416,0,0,36.38208,378.11376,0,0,0
9,Perkebunan Tahunan ,4166.56695,0,0,984.18195,0,0,2296.42455,2129.87736,0,0,27.34368,284.17896,0,0,0
10,Peternakan dan Hasil-hasilnya ,16525.17,0,0,642.912975,0,0,3659.887975,2473.149312,0,0,31.750656,16114.16388,0,0,0
11,Jasa Pertanian dan Perburuan   ,2037.896,0.3346698,0.0036933,0,0,0.74249535,0.33964155,297.418608,0,0,3.818304,39.683088,0,0,0
12,Kehutanan dan Penebangan Kayu ,29864.92632,0,0,377.1908937,0,0,946.2859263,767.781792,0,0,9.856896,102.441312,0,0,0
13,Perikanan ,2987130.161,0,0,13868.87558,0,0,13868.87558,12827.00189,0,0,164.674944,1711.443168,0,0,0
14,"Pertambangan Minyak, Gas dan Panas Bumi ",113735.2232,0.4463442,0.0049257,0,0,0.99025515,0.45297495,396.662832,0,0,5.092416,52.924752,0,0,0
15,Pertambangan Batubara dan Lignit ,4986.6515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Pertambangan Bijih Logam ,0,1.6118574,0.0177879,0,0,3.57605205,1.63580265,1432.445904,0,0,18.389952,191.124144,0,0,0
17,Pertambangan dan Penggalian Lainnya ,3550.653,4.4679184,0.0493064,0,0,9.9124828,4.5342924,3970.606464,0,0,50.975232,529.778304,0,0,0
18,Industri Batubara dan Pengilangan Migas ,2028.1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Industri Makanan dan Minuman  ,7215.299,11.1614322,0.1231737,0,0,24.76265115,11.32724295,9919.083312,0,0,127.342656,1323.454032,0,0,0
20,Pengolahan Tembakau ,391.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Industri Tekstil dan Pakaian Jadi ,1.673885935,0.035929,0.0003965,0,0,0.07971175,0.03646275,31.92984,0,0,0.40992,4.26024,0,0,0
22,"Industri Kulit, Barang dari Kulit dan Alas Kaki  ",605.217269,0.0022382,0.0000247,0,0,0.00496565,0.00227145,1.989072,0,0,0.025536,0.265392,0,0,0
23,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya  ",35746.2045,0.1318182,0.0014547,0,0,0.29245065,0.13377645,117.145872,0,0,1.503936,15.630192,0,0,0
24,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman  ",30999.4685,0.2822488,0.0031148,0,0,0.6261946,0.2864418,250.832448,0,0,3.220224,33.467328,0,0,0
25,"Industri Kimia, Farmasi dan Obat Tradisional ",497.42938,0.170221,0.0018785,0,0,0.37765075,0.17274975,151.27416,0,0,1.94208,20.18376,0,0,0
26,"Industri Karet, Barang dari Karet dan Plastik ",46563604.9,0.002945,0.0000325,0,0,0.00653375,0.00298875,2.6172,0,0,0.0336,0.3492,0,0,0
27,Industri Barang Galian bukan Logam ,9127.152,0.3786092,0.0041782,0,0,0.8399789,0.3842337,336.467232,0,0,4.319616,44.893152,0,0,0
28,Industri Logam Dasar  ,5028.706,0.179056,0.001976,0,0,0.397252,0.181716,159.12576,0,0,2.04288,21.23136,0,0,0
29,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik ",112708.952,0.5779268,0.0063778,0,0,1.2821831,0.5865123,513.599328,0,0,6.593664,68.527008,0,0,0
30,Industri Mesin dan Perlengkapan YTDL ,915.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Industri Alat Angkutan ,41.8135,0.0667926,0.0007371,0,0,0.14818545,0.06778485,59.358096,0,0,0.762048,7.919856,0,0,0
32,Industri Furnitur ,3516.672,0.1552604,0.0017134,0,0,0.3444593,0.1575669,137.978784,0,0,1.771392,18.409824,0,0,0
33,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan ",,0.0564262,0.0006227,0,0,0.12518665,0.05726445,50.145552,0,0,0.643776,6.690672,0,0,0
34,Listrik ,,0,0.067503537,8.831223558,0,0,0.132072137,0,0,0,0,0,0,0,0
35,Pengadaan Gas dan Produksi Es ,,0.0055366,0.0000611,0,0,0.01228345,0.00561885,4.920336,0,0,0.063168,0.656496,0,0,0
36,Air Bersih ,,210.4068208,2.3219768,3287.817813,0,466.8066436,213.5325588,156448.7832,0,0,2008.512576,20874.18427,0,0,0
37,Konstruksi ,,13.3129314,0.1469169,0,0,29.53594755,13.51070415,11831.10494,0,0,151.889472,1578.565584,0,0,0
38,"Perdagangan Mobil, Sepeda Motor dan Reparasinya ",,5.0544446,0.0557791,0,0,11.21374445,5.12953185,4491.848016,0,0,57.667008,599.324976,0,0,0
39,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor ",,10.3423688,0.1141348,0,0,22.9454846,10.4960118,9191.187648,0,0,117.997824,1226.334528,0,0,0
40,Angkutan Rel  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Angkutan Darat ,,151.821,0,0,0,0,0,0,0,0,21254.94,9109.26,0,0,0
42,Angkutan Laut  ,,316.32708,0,0,0,0,0,0,0,0,44285791.2,18979624.8,0,0,0
43,Angkutan Sungai Danau dan Penyeberangan ,,0.0161386,0.0001781,0,0,0.03580495,0.01637835,14.342256,0,0,0.184128,1.913616,0,0,0
44,Angkutan Udara ,,241.93632,0,0,0,0,0,0,0,87298.6888,61088.9208,26209.768,0,0,0
45,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir ",,0.2882566,0.0031811,0,0,0.63952345,0.29253885,256.171536,0,0,3.288768,34.179696,0,0,0
46,Penyediaan Akomodasi  ,,0,0,0,0,0,0,0,0,0,894.7575,383.4675,0,0,0
47,Penyediaan Makan Minum ,,46.84776,0,8.0772,0,18.57756,19.38528,0,0,0,2827.02,1211.58,0,0,0
48,Informasi dan Komunikasi ,,4.8974172,0.0540462,0,0,10.8653649,4.9701717,4352.298912,0,0,55.875456,580.705632,0,0,0
49,Jasa Perantara Keuangan  ,,4.203104,0.046384,0,0,9.324968,4.265544,3735.26784,0,0,47.95392,498.37824,0,0,0
50,Asuransi dan Dana Pensiun ,,0.1640954,0.0018109,0,0,0.36406055,0.16653315,145.830384,0,0,1.872192,19.457424,0,0,0
51,Jasa Keuangan Lainnya ,,1.349399,0.0148915,0,0,2.99376425,1.36944525,1199.20104,0,0,15.39552,160.00344,0,0,0
52,Jasa Penunjang Keuangan ,,0.0020026,0.0000221,0,0,0.00444295,0.00203235,1.779696,0,0,0.022848,0.237456,0,0,0
53,Real Estate ,,6.8321644,0.0753974,0,0,15.1577773,6.9336609,6071.694624,0,0,77.949312,810.116064,0,0,0
54,Jasa Perusahaan ,,0.090706,0.001001,0,0,0.2012395,0.0920535,80.60976,0,0,1.03488,10.75536,0,0,0
55,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Jasa Pendidikan ,,0.720347,0.0079495,0,0,1.59815525,0.73104825,640.16712,0,0,8.21856,85.41432,0,0,0
57,Jasa Kesehatan dan Kegiatan Sosial ,,1.6838332,0.0185822,0,0,3.7357369,1.7088477,1496.410272,0,0,19.211136,199.658592,0,0,0
58,Jasa lainnya ,,1.7106916,0.0188786,0,0,3.7953247,1.7361051,1520.279136,0,0,19.517568,202.843296,0,0,0
