Year,Populasi
2010,2277700
2011,2304580
2012,2331460
2013,2358340
2014,2385220
2015,2412100
2016,2435440
2017,2458780
2018,2482120
2019,2505460
2020,2528800
2021,2547900
2022,2567000
2023,2586100
2024,2605200
2025,2624300
2026,2638660
2027,2653020
2028,2667380
2029,2681740
2030,2696100
