Year,Energi,Limbah,Kehutanan,Pertanian
2010,1236.733642,207.63,0,1075321.926
2011,1357.962888,210.43,0,1157813.08
2012,1479.075874,213.13,0,1207994.515
2013,1592.162715,215.74,0,1258175.95
2014,1688.643857,218.28,0,1308357.385
2015,1766.667143,220.73,0,1358538.82
2016,1825.657172,223.12,0,1408720.255
2017,1907.068155,225.43,0,1458901.69
2018,1993.978826,227.67,0,1509083.125
2019,2086.947283,229.84,0,1559264.56
2020,2186.609373,231.94,0,1609445.995
2021,2300.990883,234,0,1659627.43
2022,2424.235322,235.99,0,1709808.865
2023,2557.35078,237.91,0,1759990.3
2024,2701.48558,239.77,0,1810171.735
2025,2857.948245,241.56,0,1860353.17
2026,3029.372955,243.28,0,1910534.605
2027,3217.592503,244.93,0,1960716.04
2028,3424.523418,246.52,0,2010897.475
2029,3652.32268,248.05,0,2061078.91
2030,3903.42006,249.5,0,2111260.345
